,0,1,2,3
0,74.842,74.438,74.438,74.483
1,-112.06,-112.15,-111.96,-112.05
2,-14.081,-13.554,-13.732,-13.684
3,-0.35125,-0.32872,-0.33895,-0.3342
4,-0.0014505,-0.0013345,-0.0013777,-0.0013609
5,6.6117,6.5194,6.5092,6.5073
6,0.41239,0.31473,0.31355,0.31293
7,0.039108,0.043161,0.049301,0.051451
8,0.042822,0.007015,0.0027754,0.0015105
9,0.0032897,4.1946e-05,-1.0937e-05,-7.5298e-05
10,0.0029095,0.0009303,0.00034206,0.00023728
11,0.00012421,7.9394e-06,2.7117e-05,2.226e-05
12,0.00058096,,2.5646e-05,2.8081e-05
13,0.00022954,,-2.4181e-06,-2.2687e-06
14,2.2047e-06,,,
