,0,1,2,3
0,74.093,74.591,74.148,74.313
1,-111.73,-112.17,-111.77,-111.98
2,-13.592,-13.668,-13.634,-13.595
3,-0.32775,-0.33475,-0.33274,-0.33052
4,-0.0013446,-0.0013663,-0.0013561,-0.0013464
5,6.4969,6.5037,6.5069,6.5074
6,0.28742,0.31653,0.31423,0.31337
7,0.050457,0.047207,0.050063,0.050688
8,0.00037408,0.0044784,0.0024367,0.001995
9,-3.5031e-05,-3.0978e-05,-4.2982e-05,-7.8545e-06
10,0.00017061,0.00047726,0.00026431,0.00020622
11,0.00010839,3.8328e-05,2.6905e-05,2.1615e-05
12,3.8452e-05,1.802e-05,2.1853e-05,9.0133e-06
13,-2.6995e-06,-1.6406e-06,-1.7861e-06,
