,0,1,2,3,4,5,6,7,8
0,9.0274,9.0497,8.9259,9.0118,9.1719,9.07,9.0675,9.1961,9.1682
1,-28.292,-28.221,-28.091,-28.181,-28.32,-28.214,-28.221,-28.35,-28.323
2,-1.413,-1.4408,-1.4657,-1.4634,-1.4837,-1.4878,-1.4796,-1.4789,-1.4779
3,-0.003399,-0.0032274,-0.0034203,-0.0034657,-0.0035198,-0.0035565,-0.0035299,-0.0034671,-0.0034707
4,-1.4105e-07,-1.2017e-07,-1.2651e-07,-1.2793e-07,-1.2868e-07,-1.3387e-07,-1.3061e-07,-1.2736e-07,-1.2595e-07
5,2.6726,2.578,2.5924,2.5975,2.5946,2.5972,2.5977,2.5973,2.5973
6,0.13344,0.12888,0.13024,0.13157,0.13203,0.12757,0.13052,0.12907,0.12929
7,0.017764,0.023306,0.022925,0.020289,0.022248,0.021501,0.02112,0.021984,0.021584
8,0.0043047,-0.00025608,0.0001336,0.0019207,0.00049509,0.00070253,0.0011594,0.00049752,0.00078551
9,0.00014648,0.00013217,0.00013961,0.00014385,0.00020155,0.00016903,0.00016629,0.00017464,0.00016785
10,2.1391e-05,2.7851e-05,3.21e-06,7.1342e-06,2.9596e-06,6.0213e-06,5.8291e-06,2.2756e-06,5.7391e-06
11,1.8717e-05,1.4425e-06,,,,,,,
12,-6.7122e-07,,,,,,,,
