,0
0,112.99
1,-240.86
2,-8.9942
3,-0.05063
4,-0.00025882
5,4.9356
6,1.9196
7,-0.0018585
8,0.014031
9,-9.6532e-05
10,2.0647e-05
11,3.1047e-06
