,0,1,2,3,4
0,74.59,73.05,73.759,73.895,73.708
1,-125.32,-123.82,-124.49,-124.64,-124.46
2,-4.066,-4.0041,-4.0447,-4.0396,-4.0266
3,-0.0081438,-0.0076508,-0.0078093,-0.0076775,-0.0077385
4,-3.1175e-06,-2.8811e-06,-2.9482e-06,-2.9389e-06,-2.9407e-06
5,1.9242,1.9692,1.9796,1.9708,1.9677
6,0.77788,0.79878,0.76913,0.76628,0.77679
7,0.0028799,0.0020529,-0.0032768,0.0029414,0.0012467
8,0.0038364,0.001511,0.0073952,0.00083496,0.0024328
9,-6.5626e-06,2.4906e-06,-6.2926e-05,1.4513e-06,-6.3019e-06
10,,,1.4902e-05,,2.753e-06
11,,,-3.9976e-07,,
