,0,1
0,725.08,725.32
1,-667.47,-667.32
2,-95.601,-95.951
3,-3.2463,-3.2872
4,-0.010692,-0.010877
5,4.7823,4.8016
6,2.8823,2.8705
7,0.080816,0.085705
8,0.019587,0.017321
9,-9.4673e-05,-0.00010847
10,-1.4399e-05,-7.3668e-07
11,-1.9997e-06,
