,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,198.4,196.33,200.99,201.12,198.44,198.0,197.36,199.94,196.49,197.73,198.25,196.29,196.23,196.52,196.97,198.2,197.26,197.05,197.09,197.1,196.99,197.34,197.66,197.14,197.47,196.67,197.12,197.57,197.15,197.59,197.4,197.32,197.32,197.94,197.17,197.47,197.37,197.27,197.27,197.29,197.41,197.35,197.41,197.29,197.29,197.25,197.26
1,-198.74,-196.56,-200.59,-200.87,-198.36,-197.99,-197.36,-199.75,-196.43,-197.64,-198.18,-196.66,-196.34,-196.59,-197.05,-198.2,-197.28,-197.19,-197.17,-197.21,-197.12,-197.45,-197.73,-197.23,-197.59,-196.81,-197.27,-197.59,-197.28,-197.62,-197.47,-197.45,-197.45,-197.98,-197.33,-197.54,-197.44,-197.35,-197.35,-197.38,-197.49,-197.43,-197.5,-197.39,-197.4,-197.35,-197.35
2,-7.727,-8.0675,-8.5297,-8.0499,-7.968,-8.2088,-8.0514,-8.2679,-8.1019,-8.1676,-8.1862,-7.7887,-8.0022,-8.0538,-8.0581,-8.1041,-8.0925,-7.984,-8.0346,-8.0056,-7.9985,-8.0108,-8.0437,-8.032,-7.9945,-7.9828,-7.9635,-8.098,-7.9962,-8.0887,-8.0483,-7.9884,-7.9884,-8.075,-7.9666,-8.0546,-8.0498,-8.0398,-8.0398,-8.0215,-8.0423,-8.0359,-8.0294,-8.026,-8.0162,-8.0211,-8.0296
3,-0.077731,-0.082455,-0.09351,-0.085419,-0.08229,-0.084444,-0.084082,-0.087537,-0.085921,-0.086972,-0.086732,-0.081937,-0.083914,-0.085589,-0.085364,-0.08501,-0.084845,-0.083695,-0.084627,-0.084018,-0.083619,-0.084516,-0.084728,-0.084813,-0.083912,-0.083958,-0.083399,-0.085122,-0.084359,-0.08535,-0.084825,-0.084001,-0.084001,-0.085006,-0.083651,-0.084781,-0.084914,-0.084598,-0.084598,-0.08442,-0.084895,-0.084567,-0.0846,-0.084455,-0.084203,-0.084658,-0.08443
4,-0.00072748,-0.00073906,-0.00079391,-0.00078545,-0.00073499,-0.00075523,-0.0007657,-0.00077334,-0.00077782,-0.00077505,-0.00077464,-0.00074614,-0.00076099,-0.00077536,-0.00076889,-0.00077283,-0.00076317,-0.00075508,-0.00076449,-0.00076085,-0.00075585,-0.00076764,-0.00076625,-0.00076421,-0.00076291,-0.00075967,-0.00076354,-0.00076682,-0.00076329,-0.00077166,-0.00076861,-0.00076145,-0.00076145,-0.00077009,-0.0007604,-0.00076619,-0.00076824,-0.00076619,-0.00076619,-0.00076496,-0.00076902,-0.00076461,-0.00076619,-0.00076455,-0.00076376,-0.00076539,-0.00076476
5,-0.0084206,-0.0066451,-0.0069435,-0.0070536,-0.0073256,-0.0067649,-0.0070371,-0.0070618,-0.007229,-0.0070268,-0.0069698,-0.0067558,-0.0070649,-0.0069279,-0.0069768,-0.0069778,-0.0070082,-0.006965,-0.0069535,-0.0069956,-0.0069687,-0.006954,-0.0069867,-0.0069678,-0.0069737,-0.0069638,-0.0069554,-0.0069744,-0.0069515,-0.006963,-0.0069661,-0.0069776,-0.0069776,-0.0069762,-0.0069699,-0.0069683,-0.0069689,-0.0069715,-0.0069715,-0.0069732,-0.0069717,-0.0069732,-0.0069749,-0.0069714,-0.0069742,-0.006973,-0.0069713
6,-0.0066359,-0.0049526,-0.0051668,-0.0052479,-0.0054955,-0.0051221,-0.0052641,-0.0053302,-0.0054341,-0.0052751,-0.0052658,-0.0050844,-0.005318,-0.0051914,-0.0052416,-0.0052473,-0.0052721,-0.005236,-0.0052258,-0.0052583,-0.0052424,-0.0052277,-0.0052524,-0.0052369,-0.0052419,-0.0052384,-0.0052284,-0.0052436,-0.0052229,-0.0052349,-0.0052374,-0.0052455,-0.0052455,-0.0052444,-0.0052394,-0.0052396,-0.0052377,-0.0052414,-0.0052414,-0.005242,-0.005241,-0.005242,-0.0052444,-0.0052406,-0.0052426,-0.0052414,-0.005241
7,-2.5865e-05,2.3924e-05,2.2214e-05,2.5513e-05,2.7407e-05,2.56e-05,2.7105e-05,2.7838e-05,2.736e-05,2.6136e-05,2.7839e-05,2.3866e-05,2.7798e-05,2.5987e-05,2.6913e-05,2.5874e-05,2.6901e-05,2.6246e-05,2.5866e-05,2.6543e-05,2.683e-05,2.6706e-05,2.693e-05,2.6511e-05,2.6564e-05,2.6849e-05,2.6668e-05,2.6769e-05,2.6242e-05,2.6456e-05,2.6408e-05,2.6766e-05,2.6766e-05,2.6631e-05,2.6675e-05,2.681e-05,2.6417e-05,2.6663e-05,2.6663e-05,2.6562e-05,2.6661e-05,2.6612e-05,2.6755e-05,2.6595e-05,2.6711e-05,2.6589e-05,2.6629e-05
8,-1.6627e-05,-1.1556e-05,-1.1982e-05,-1.1666e-05,-1.1933e-05,-1.1542e-05,-1.1729e-05,-1.1811e-05,-1.2069e-05,-1.1863e-05,-1.1461e-05,-1.1751e-05,-1.1744e-05,-1.1738e-05,-1.175e-05,-1.1811e-05,-1.176e-05,-1.1847e-05,-1.1782e-05,-1.175e-05,-1.1751e-05,-1.1687e-05,-1.1753e-05,-1.1728e-05,-1.1769e-05,-1.174e-05,-1.1719e-05,-1.1761e-05,-1.1788e-05,-1.1759e-05,-1.1758e-05,-1.1731e-05,-1.1731e-05,-1.1762e-05,-1.1741e-05,-1.172e-05,-1.1757e-05,-1.1736e-05,-1.1736e-05,-1.1763e-05,-1.1743e-05,-1.1757e-05,-1.1737e-05,-1.1764e-05,-1.1758e-05,-1.1763e-05,-1.1746e-05
9,3.4577e-06,3.556e-06,2.948e-06,3.4004e-06,3.344e-06,3.5808e-06,3.342e-06,3.5452e-06,3.1929e-06,3.1784e-06,3.411e-06,3.3253e-06,3.3899e-06,3.2731e-06,3.2272e-06,3.1927e-06,3.3185e-06,3.2901e-06,3.2303e-06,3.1955e-06,3.3231e-06,3.278e-06,3.2977e-06,3.2634e-06,3.2757e-06,3.3384e-06,3.3154e-06,3.2663e-06,3.2419e-06,3.2659e-06,3.2522e-06,3.275e-06,3.275e-06,3.265e-06,3.275e-06,3.295e-06,3.2378e-06,3.2617e-06,3.2617e-06,3.2576e-06,3.2605e-06,3.2701e-06,3.286e-06,3.2696e-06,3.2826e-06,3.265e-06,3.276e-06
