,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,57.089,56.573,59.365,59.365,59.411,59.411,58.592,58.73,59.586,58.729,59.021,58.47,58.06,58.726,58.427,58.81,58.697,58.467,58.741,58.383,58.554,58.8,58.69,58.796,58.502,58.637,58.644,58.628,58.8,58.771,58.702,58.642,58.68,58.7,58.611,58.685,58.678,58.739
1,-57.156,-56.268,-58.976,-58.976,-59.147,-59.147,-58.354,-58.524,-59.257,-58.476,-58.762,-58.249,-57.884,-58.488,-58.225,-58.561,-58.462,-58.237,-58.503,-58.178,-58.327,-58.555,-58.45,-58.544,-58.268,-58.409,-58.4,-58.398,-58.552,-58.526,-58.465,-58.403,-58.443,-58.461,-58.378,-58.458,-58.446,-58.482
2,-2.0776,-2.1846,-2.2779,-2.2779,-2.3079,-2.3079,-2.2799,-2.2579,-2.3664,-2.3069,-2.3079,-2.2728,-2.228,-2.2855,-2.2526,-2.2948,-2.2801,-2.2788,-2.2867,-2.2536,-2.2735,-2.2917,-2.2879,-2.2981,-2.2831,-2.2755,-2.2911,-2.2778,-2.2944,-2.2924,-2.2844,-2.2867,-2.2837,-2.2868,-2.2807,-2.2737,-2.2799,-2.3036
3,-0.0034107,-0.0040743,-0.0037161,-0.0037161,-0.0038844,-0.0038844,-0.0038328,-0.003895,-0.0040589,-0.0038384,-0.0039077,-0.0038035,-0.0037152,-0.0037772,-0.0037334,-0.0038436,-0.0038228,-0.0037789,-0.0038693,-0.0037299,-0.00379,-0.0038167,-0.003839,-0.0038885,-0.0038396,-0.0038105,-0.0038307,-0.0037974,-0.0038402,-0.0038328,-0.0038213,-0.0038378,-0.0038287,-0.0038306,-0.0038059,-0.0037861,-0.0038072,-0.0038894
4,-1.2747e-06,-1.5944e-06,-1.4084e-06,-1.4084e-06,-1.4722e-06,-1.4722e-06,-1.4243e-06,-1.4929e-06,-1.4929e-06,-1.462e-06,-1.4862e-06,-1.433e-06,-1.4107e-06,-1.4319e-06,-1.4181e-06,-1.442e-06,-1.4531e-06,-1.4167e-06,-1.4756e-06,-1.4163e-06,-1.4497e-06,-1.4514e-06,-1.4529e-06,-1.4682e-06,-1.457e-06,-1.4561e-06,-1.4458e-06,-1.4353e-06,-1.4561e-06,-1.4496e-06,-1.4483e-06,-1.4583e-06,-1.4554e-06,-1.4573e-06,-1.4477e-06,-1.4332e-06,-1.4471e-06,-1.4667e-06
5,-0.0015634,-0.0020694,-0.002005,-0.002005,-0.0017213,-0.0017213,-0.0017611,-0.0017422,-0.0017858,-0.0017368,-0.0017504,-0.0017537,-0.0017453,-0.0017768,-0.0017676,-0.0017775,-0.0017756,-0.0017666,-0.0017559,-0.0017552,-0.001767,-0.0017674,-0.0017544,-0.0017633,-0.0017602,-0.0017598,-0.001764,-0.0017638,-0.0017626,-0.0017649,-0.0017641,-0.0017614,-0.0017649,-0.0017638,-0.0017627,-0.0017653,-0.0017623,-0.00176
6,-0.0011267,-0.0014692,-0.0014484,-0.0014484,-0.0012415,-0.0012415,-0.0012768,-0.0012603,-0.00129,-0.0012514,-0.0012665,-0.0012668,-0.0012623,-0.0012867,-0.0012788,-0.0012856,-0.0012849,-0.0012787,-0.0012694,-0.0012694,-0.0012792,-0.0012788,-0.0012703,-0.0012755,-0.0012741,-0.0012738,-0.0012768,-0.0012765,-0.0012746,-0.0012771,-0.0012767,-0.0012749,-0.0012769,-0.001276,-0.0012758,-0.0012773,-0.0012749,-0.0012735
7,-2.2742e-07,8.5312e-06,6.5643e-06,6.5643e-06,6.3439e-06,6.3439e-06,6.4803e-06,6.1873e-06,6.7136e-06,6.2435e-06,6.5826e-06,6.6844e-06,6.4533e-06,6.9201e-06,6.8861e-06,6.8183e-06,6.8679e-06,6.7939e-06,6.6617e-06,6.6524e-06,6.7736e-06,6.8398e-06,6.6775e-06,6.7513e-06,6.73e-06,6.683e-06,6.7454e-06,6.7774e-06,6.6887e-06,6.7565e-06,6.7422e-06,6.7484e-06,6.7665e-06,6.7519e-06,6.7292e-06,6.7662e-06,6.7307e-06,6.6973e-06
