,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,167.03,167.03,161.4,165.75,167.5,165.23,165.91,164.16,166.98,165.65,165.93,166.21,166.28,165.95,166.74,166.02,165.77,166.03,165.9,166.18,165.79,166.08,166.08,165.79,165.89,165.83,166.15,166.0,165.69,166.08,165.77,166.07,165.7,165.85,166.01,166.08,166.04,166.03
1,-166.44,-166.44,-161.07,-164.73,-166.87,-164.99,-165.4,-163.83,-166.27,-165.07,-165.45,-165.75,-165.74,-165.39,-166.15,-165.52,-165.29,-165.52,-165.41,-165.66,-165.27,-165.57,-165.55,-165.27,-165.38,-165.32,-165.63,-165.48,-165.2,-165.55,-165.28,-165.55,-165.21,-165.35,-165.51,-165.55,-165.53,-165.52
2,-6.6755,-6.6755,-6.3904,-6.7967,-6.6293,-6.5161,-6.5469,-6.4316,-6.8002,-6.6481,-6.5886,-6.5546,-6.6345,-6.657,-6.6886,-6.5944,-6.5802,-6.6064,-6.5849,-6.624,-6.6138,-6.6021,-6.6218,-6.619,-6.6102,-6.6095,-6.6193,-6.6136,-6.5829,-6.6311,-6.5878,-6.6159,-6.5872,-6.5943,-6.6031,-6.6327,-6.6128,-6.6087
3,-0.056816,-0.056816,-0.053272,-0.056205,-0.054355,-0.0539,-0.054463,-0.052623,-0.056476,-0.054855,-0.054593,-0.054036,-0.054498,-0.054489,-0.055565,-0.054441,-0.053996,-0.054488,-0.054167,-0.054667,-0.054735,-0.054322,-0.05477,-0.054633,-0.054564,-0.054362,-0.054704,-0.054523,-0.054193,-0.054751,-0.054335,-0.054533,-0.05432,-0.054386,-0.054405,-0.054756,-0.054535,-0.05455
4,-0.00046459,-0.00046459,-0.00042472,-0.00043281,-0.00043964,-0.00042975,-0.00043541,-0.0004231,-0.00044592,-0.00043822,-0.00043032,-0.00042727,-0.00043401,-0.00043415,-0.00043975,-0.00043138,-0.0004296,-0.00043185,-0.00043064,-0.00043106,-0.00043535,-0.00043271,-0.00043401,-0.00043374,-0.00043346,-0.00043202,-0.00043419,-0.0004325,-0.00042998,-0.00043435,-0.00043154,-0.00043301,-0.0004309,-0.00043237,-0.00043229,-0.00043434,-0.00043284,-0.00043302
5,-0.0059892,-0.0059892,-0.0054851,-0.0059649,-0.0052778,-0.0050464,-0.0052364,-0.0053055,-0.0052909,-0.005314,-0.0052531,-0.005253,-0.0052662,-0.0052707,-0.0052811,-0.0052388,-0.0052754,-0.0052441,-0.0052572,-0.0052611,-0.0052672,-0.0052553,-0.0052722,-0.005246,-0.0052532,-0.0052529,-0.0052472,-0.0052502,-0.0052492,-0.0052464,-0.0052544,-0.005247,-0.0052492,-0.0052474,-0.0052533,-0.005252,-0.005251,-0.0052451
6,-0.0044308,-0.0044308,-0.0040889,-0.0042878,-0.0039153,-0.0037433,-0.0038727,-0.0039246,-0.0039183,-0.0039378,-0.0038936,-0.0038993,-0.0039092,-0.0039038,-0.0039195,-0.0038826,-0.0039082,-0.0038897,-0.003895,-0.0039022,-0.0039035,-0.0038964,-0.0039074,-0.0038888,-0.0038955,-0.0038941,-0.0038896,-0.0038923,-0.0038908,-0.0038893,-0.0038954,-0.0038891,-0.0038916,-0.0038897,-0.0038942,-0.0038932,-0.0038933,-0.0038883
7,1.8694e-05,1.8694e-05,1.7172e-05,2.3956e-05,2.035e-05,2.1965e-05,2.1619e-05,2.3084e-05,2.4074e-05,2.3614e-05,2.3431e-05,2.3684e-05,2.4048e-05,2.3514e-05,2.4231e-05,2.3487e-05,2.383e-05,2.3644e-05,2.3759e-05,2.3733e-05,2.3667e-05,2.3695e-05,2.3702e-05,2.3702e-05,2.3613e-05,2.3684e-05,2.3568e-05,2.3635e-05,2.3636e-05,2.366e-05,2.3747e-05,2.361e-05,2.3681e-05,2.3656e-05,2.3715e-05,2.3666e-05,2.3724e-05,2.3626e-05
8,-1.1122e-05,-1.1122e-05,-1.1215e-05,-1.0809e-05,-1.0549e-05,-1.0281e-05,-1.0476e-05,-1.0556e-05,-1.0419e-05,-1.0516e-05,-1.0447e-05,-1.0442e-05,-1.0419e-05,-1.0395e-05,-1.0444e-05,-1.0403e-05,-1.0421e-05,-1.0414e-05,-1.0417e-05,-1.0439e-05,-1.0434e-05,-1.0431e-05,-1.0455e-05,-1.039e-05,-1.0407e-05,-1.0406e-05,-1.0407e-05,-1.0423e-05,-1.0406e-05,-1.0395e-05,-1.0402e-05,-1.0409e-05,-1.0424e-05,-1.0406e-05,-1.0412e-05,-1.0402e-05,-1.0402e-05,-1.0414e-05
9,1.6624e-06,1.6624e-06,3.683e-06,3.2784e-06,3.2196e-06,3.2707e-06,3.2003e-06,3.253e-06,3.212e-06,3.2664e-06,3.2618e-06,3.2768e-06,3.2645e-06,3.2216e-06,3.2498e-06,3.2483e-06,3.2379e-06,3.2562e-06,3.2423e-06,3.2536e-06,3.2424e-06,3.2506e-06,3.2472e-06,3.2427e-06,3.2472e-06,3.247e-06,3.2461e-06,3.2516e-06,3.2437e-06,3.2414e-06,3.2427e-06,3.246e-06,3.2534e-06,3.2455e-06,3.247e-06,3.2406e-06,3.2435e-06,3.2494e-06
