,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,246.51,241.55,240.51,233.35,231.33,233.98,233.65,231.94,235.48,234.85,233.47,232.94,234.56,233.8,233.36,232.86,234.34,233.86,233.75,233.5,233.23,233.89,233.37,233.63,233.27,234.02,233.76
1,-306.43,-299.2,-298.43,-292.01,-290.29,-292.76,-292.79,-291.22,-294.11,-293.67,-292.35,-291.94,-293.49,-292.77,-292.37,-291.96,-293.2,-292.84,-292.74,-292.47,-292.25,-292.82,-292.37,-292.55,-292.21,-292.94,-292.71
2,-20.042,-21.194,-20.534,-19.708,-19.499,-19.671,-19.385,-19.214,-19.87,-19.668,-19.61,-19.502,-19.558,-19.526,-19.479,-19.396,-19.63,-19.51,-19.499,-19.519,-19.471,-19.557,-19.493,-19.566,-19.555,-19.574,-19.542
3,-0.34111,-0.36699,-0.3456,-0.33352,-0.33147,-0.33002,-0.31985,-0.31976,-0.33397,-0.33102,-0.32867,-0.32656,-0.32759,-0.32689,-0.32734,-0.32475,-0.3286,-0.3269,-0.32599,-0.32801,-0.32675,-0.32881,-0.32669,-0.32826,-0.32865,-0.32836,-0.32805
4,-0.0061246,-0.013575,-0.012513,-0.010392,-0.01131,-0.011435,-0.010621,-0.010106,-0.01064,-0.011314,-0.011259,-0.010939,-0.010839,-0.010626,-0.010484,-0.010689,-0.010415,-0.010715,-0.010388,-0.010562,-0.010666,-0.010739,-0.010666,-0.010656,-0.010681,-0.010561,-0.010641
5,3.4952,3.0642,3.1164,3.3159,3.293,3.2248,3.2958,3.281,3.306,3.2894,3.2952,3.3039,3.3012,3.2919,3.2921,3.2949,3.2898,3.2936,3.2899,3.2911,3.2906,3.2923,3.289,3.2895,3.2898,3.2898,3.2885
6,1.2096,1.0399,1.0742,1.1097,1.0749,1.0985,1.0994,1.061,1.0789,1.0836,1.0817,1.0754,1.068,1.0803,1.087,1.0813,1.0811,1.0777,1.0781,1.0808,1.0792,1.0795,1.0822,1.0802,1.0786,1.0794,1.0816
7,0.014674,0.013607,0.011585,0.0097495,0.011374,0.014123,0.010501,0.014787,0.012949,0.011533,0.014173,0.012673,0.011339,0.012827,0.012407,0.012248,0.013172,0.01322,0.014057,0.012607,0.013199,0.013101,0.012793,0.013024,0.013178,0.013381,0.013364
8,0.0024093,0.001921,0.0038039,0.0046823,0.0031344,0.0015334,0.0039894,0.0011873,0.0019037,0.0027038,0.0014366,0.0019622,0.0026649,0.0018819,0.0021218,0.0022297,0.001714,0.0016008,0.0012778,0.0019586,0.0016211,0.0016798,0.0018832,0.0017188,0.0016293,0.0015313,0.0015361
9,9.8057e-06,7.2936e-05,-4.4518e-06,-2.8752e-05,-4.734e-05,-6.8122e-05,-7.3988e-05,-6.9942e-05,-9.3149e-05,-8.2059e-05,-7.7111e-05,-9.0195e-05,-0.00010033,-9.1117e-05,-8.6244e-05,-8.5148e-05,-9.2748e-05,-8.401e-05,-7.9613e-05,-8.3042e-05,-7.049e-05,-7.5843e-05,-7.7822e-05,-7.3245e-05,-7.2929e-05,-7.521e-05,-7.0467e-05
10,-4.3907e-05,-1.4432e-05,-3.3678e-05,-4.1721e-05,-3.87e-05,-6.629e-06,-4.4511e-05,-2.1481e-05,-1.0645e-05,-1.5416e-05,-1.7277e-05,-1.457e-05,-8.0343e-06,-3.564e-06,-2.8092e-07,-1.8526e-06,-1.1075e-06,-5.6814e-07,-1.238e-06,-6.4417e-07,-3.1792e-06,-1.0896e-06,-5.0953e-07,-2.341e-07,3.3775e-07,6.6813e-07,2.0618e-07
11,3.1275e-06,-7.3015e-06,-4.8785e-07,1.1797e-06,-2.7156e-06,,1.5836e-06,3.1313e-06,1.8759e-06,4.0322e-06,2.4608e-06,2.1528e-06,,,,,,,,,,,,,,,
