,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1690.8,1688.6,1688.7,1687.8,1691.8,1689.9,1690.8,1689.0,1690.2,1689.0,1689.3,1689.1,1690.4
1,-1697.6,-1696.4,-1696.1,-1695.3,-1698.3,-1697.0,-1698.0,-1696.3,-1697.0,-1696.4,-1696.6,-1696.2,-1697.4
2,-213.99,-213.17,-213.44,-213.37,-214.29,-213.72,-213.64,-213.56,-213.95,-213.53,-213.55,-213.72,-213.78
3,-35.237,-35.098,-35.212,-35.188,-35.313,-35.204,-35.239,-35.223,-35.267,-35.209,-35.185,-35.192,-35.245
4,-5.5203,-5.4919,-5.5201,-5.5166,-5.5418,-5.5156,-5.5197,-5.5351,-5.517,-5.521,-5.514,-5.5279,-5.5277
5,10.027,10.039,10.044,10.035,10.027,10.027,10.033,10.036,10.03,10.028,10.03,10.028,10.029
6,3.4302,3.4327,3.4201,3.4196,3.4256,3.4247,3.4266,3.4219,3.4292,3.4273,3.4292,3.4261,3.4268
7,-0.029501,-0.027197,-0.033056,-0.034292,-0.029073,-0.031279,-0.025077,-0.032643,-0.026375,-0.028779,-0.028764,-0.030254,-0.027514
8,-0.0042495,-0.0049924,-0.0010423,-0.00014167,-0.0054332,-0.0025929,-0.0088215,-0.001079,-0.0084622,-0.0064231,-0.0060025,-0.0041093,-0.0062675
9,-0.0030506,-0.0028014,-0.0028039,-0.002883,-0.0029163,-0.0029209,-0.0030531,-0.0028861,-0.0031401,-0.002939,-0.0029063,-0.0030243,-0.0029654
10,-0.0010234,-0.0010209,-0.001044,-0.001076,-0.0010536,-0.0010339,-0.00099165,-0.0010662,-0.00095127,-0.0010221,-0.0010292,-0.0010228,-0.0010021
11,-0.0002525,-0.0002485,-0.00025332,-0.00024421,-0.00025611,-0.00025034,-0.0002512,-0.00024403,-0.0002477,-0.00024773,-0.00024216,-0.00023975,-0.00024376
12,-5.1664e-05,-4.43e-05,-4.6638e-05,-4.5348e-05,-4.6644e-05,-5.011e-05,-4.505e-05,-4.4595e-05,-4.2713e-05,-4.439e-05,-4.2501e-05,-4.6558e-05,-4.4968e-05
13,-8.242e-06,-7.357e-06,-6.767e-06,-8.7108e-06,-8.2538e-06,-7.424e-06,-7.8204e-06,-8.6945e-06,-6.8462e-06,-7.223e-06,-8.6817e-06,-9.0521e-06,-7.495e-06
14,-2.0166e-06,-7.1856e-07,-9.8315e-07,-1.7855e-06,-1.3772e-06,-1.5288e-06,-2.0595e-06,-1.7733e-06,6.236e-08,-1.5111e-06,-1.7122e-06,-2.4622e-06,-1.6862e-06
