,0,1,2,3,4,5,6,7,8,9,10,11
0,1461.5,1463.4,1461.6,1460.4,1463.6,1462.7,1462.5,1463.9,1463.0,1463.6,1462.2,1460.4
1,-1489.8,-1491.7,-1489.9,-1489.0,-1492.1,-1491.0,-1490.6,-1492.5,-1491.4,-1492.0,-1490.6,-1488.9
2,-180.24,-180.22,-180.21,-179.9,-180.07,-180.22,-180.4,-179.95,-180.16,-180.2,-180.17,-180.1
3,-24.69,-24.705,-24.737,-24.687,-24.702,-24.683,-24.724,-24.653,-24.705,-24.713,-24.725,-24.703
4,-2.8149,-2.8144,-2.8137,-2.8066,-2.8201,-2.8157,-2.8311,-2.8202,-2.8234,-2.8246,-2.8211,-2.8189
5,9.5342,9.5284,9.5405,9.5388,9.5336,9.5352,9.5337,9.5314,9.5333,9.5355,9.5383,9.5365
6,3.1836,3.1788,3.1725,3.1818,3.1919,3.1832,3.1816,3.1866,3.1837,3.1851,3.1824,3.1827
7,0.010391,0.010943,0.0088911,0.0098435,0.0095112,0.011055,0.0098157,0.0097827,0.011358,0.00966,0.010414,0.010236
8,-0.00066126,0.00015351,0.00094018,-0.00074027,-0.00027059,-0.00073118,-0.00042956,-0.0004647,-0.00087262,-0.00016639,-0.00084312,-0.00087911
9,-0.00032061,0.00012553,0.00039616,0.00034702,-4.5089e-05,-0.00031407,0.0003075,4.9992e-05,-0.00038529,0.00026698,0.00012136,0.00023928
10,-0.00022313,-0.00025332,-0.00027346,-0.00029273,-0.00022732,-0.00022394,-0.00029623,-0.00028236,-0.00021747,-0.00028613,-0.00028829,-0.00027283
11,-5.2316e-05,-9.3732e-05,-8.9224e-05,-6.7785e-05,-5.4194e-05,-6.2597e-05,-7.7604e-05,-6.5777e-05,-5.8457e-05,-8.2963e-05,-6.7422e-05,-7.0293e-05
12,5.2611e-06,3.803e-07,1.5949e-06,4.7787e-06,5.4388e-06,3.9326e-06,3.5873e-06,4.1585e-06,3.5778e-06,4.1251e-06,2.0999e-06,1.3894e-06
