,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,221.09,223.77,223.42,224.07,224.85,224.85,223.56,224.2,223.94,223.92,224.15,224.11,224.31,223.63,224.26,223.83,223.74,224.32,224.08
1,-267.27,-270.76,-270.27,-270.92,-271.53,-271.53,-270.39,-271.0,-270.7,-270.68,-270.89,-270.87,-271.15,-270.45,-271.02,-270.69,-270.6,-271.05,-270.88
2,-24.724,-25.703,-25.84,-25.831,-25.991,-25.991,-25.849,-25.875,-25.908,-25.912,-25.919,-25.913,-25.839,-25.858,-25.905,-25.829,-25.821,-25.948,-25.878
3,-0.843,-0.91883,-0.92597,-0.93019,-0.94679,-0.94679,-0.93404,-0.94121,-0.94266,-0.93413,-0.94477,-0.93998,-0.92537,-0.93594,-0.93675,-0.93037,-0.93063,-0.93663,-0.93578
4,-0.050397,-0.050838,-0.050943,-0.051464,-0.052085,-0.052085,-0.051569,-0.051919,-0.052015,-0.051267,-0.052223,-0.051992,-0.051122,-0.051521,-0.051728,-0.051358,-0.051528,-0.051767,-0.051626
5,4.3311,3.6197,3.618,3.6152,3.6123,3.6123,3.6165,3.6138,3.6139,3.614,3.6149,3.6141,3.6143,3.6138,3.6141,3.6141,3.6142,3.614,3.6139
6,-1.1065,-0.10984,-0.10751,-0.10018,-0.094342,-0.094342,-0.10243,-0.097569,-0.097838,-0.097333,-0.099544,-0.097958,-0.097557,-0.096797,-0.097394,-0.097448,-0.097367,-0.097373,-0.097333
7,2.5967,2.0464,2.0469,2.0389,2.0407,2.0407,2.0402,2.0436,2.0438,2.0425,2.047,2.0437,2.0433,2.0435,2.0431,2.0435,2.0431,2.0434,2.0436
8,0.97628,0.091849,0.091057,0.092987,0.088834,0.088834,0.09267,0.08777,0.087778,0.088418,0.085274,0.087862,0.087705,0.087151,0.087813,0.087532,0.08775,0.087537,0.087545
9,0.053467,0.013473,0.013547,0.013708,0.013869,0.013869,0.01374,0.013638,0.013639,0.013847,0.013615,0.013647,0.01363,0.013558,0.013651,0.013623,0.013663,0.013622,0.013625
10,0.088853,0.018554,0.018545,0.018686,0.018499,0.018499,0.018686,0.01849,0.018495,0.018477,0.01853,0.018493,0.018488,0.018541,0.018488,0.018493,0.01848,0.018492,0.018496
11,0.021334,-0.0036684,-0.0036465,-0.0037068,-0.0037151,-0.0037151,-0.0037029,-0.0037654,-0.0037616,-0.0037084,-0.0038079,-0.0037602,-0.0037391,-0.0037539,-0.0037382,-0.0037384,-0.0037359,-0.0037379,-0.003738
12,0.0049319,0.0065934,0.0065597,0.0065765,0.0066057,0.0066057,0.0065709,0.0066411,0.0066346,0.0065988,0.006662,0.0066339,0.0066115,0.0066115,0.0066135,0.0066096,0.006611,0.0066104,0.0066088
13,0.0448,-0.00061473,-0.00061537,-0.0006083,-0.00059932,-0.00059932,-0.00060672,-0.00060477,-0.00060405,-0.00060021,-0.00058074,-0.00060535,-0.00060654,-0.00060804,-0.00060525,-0.00060659,-0.00060542,-0.00060638,-0.00060611
14,0.00021891,0.00031584,0.00031634,0.00030922,0.00028924,0.00028924,0.00030884,0.00030371,0.00030362,0.00029011,0.00029543,0.00030401,0.00030248,0.00030348,0.00030112,0.00030243,0.00030112,0.00030258,0.00030224
15,0.0017479,-0.00022813,-0.00022733,-0.00022705,-0.00022693,-0.00022693,-0.00022747,-0.00022814,-0.00022826,-0.00022624,-0.00022673,-0.00022798,-0.00022728,-0.00022709,-0.00022728,-0.00022731,-0.00022732,-0.0002274,-0.00022734
16,-8.7447e-06,-1.1756e-05,-1.3272e-05,-8.9685e-06,-7.7164e-06,-7.7164e-06,-9.1268e-06,-7.2992e-06,-7.2851e-06,-8.3197e-06,-1.2894e-05,-7.5248e-06,-8.0288e-06,-8.484e-06,-7.8214e-06,-7.9842e-06,-7.7933e-06,-7.9012e-06,-7.9707e-06
17,-0.00016044,-6.9163e-05,-6.8221e-05,,,,,,,,-6.8763e-05,,,,,,,,
18,-8.1634e-05,-9.5376e-06,-9.5113e-06,,,,,,,,-9.2381e-06,,,,,,,,
19,-1.364e-05,,,,,,,,,,,,,,,,,,
20,-3.0821e-06,,,,,,,,,,,,,,,,,,
