,0,1,2,3,4
0,196.48,197.03,197.8,197.69,197.25
1,-196.66,-197.15,-197.83,-197.74,-197.35
2,-7.9411,-7.9915,-8.0943,-8.0641,-8.0252
3,-0.083624,-0.083912,-0.085488,-0.085112,-0.084356
4,-0.00076059,-0.0007614,-0.00077152,-0.00076975,-0.00076377
5,-0.006986,-0.0069874,-0.0069806,-0.0069743,-0.0069721
6,-0.0052568,-0.0052571,-0.0052519,-0.0052514,-0.0052426
7,2.7529e-05,2.7692e-05,2.7072e-05,2.7799e-05,2.679e-05
8,-1.162e-05,-1.1609e-05,-1.1683e-05,-1.1554e-05,-1.172e-05
9,3.349e-06,3.3724e-06,3.3431e-06,3.3865e-06,3.2825e-06
