	element	cell size	cell type	kpd	err us	err vasp	diff in errors	kp file	grid type
0	Al	10	base centered monoclinic	20.641650120648379	0.020787490900000094	0.022089590899999845	0.0013020999999997507	5	bcc
1	Al	10	base centered monoclinic	147.82084925109484	0.000957590899999694	0.001766690899999812	0.0008091000000001181	10	bcc
2	Al	10	base centered monoclinic	470.096935005734	0.0004259090999996218	8.359090000009672e-05	-0.00034231819999952506	15	bcc
3	Al	10	base centered monoclinic	1106.6587903392774	0.00027110909999983335	0.00011359090000029326	-0.0001575181999995401	20	bcc
4	Al	11	base centered monoclinic	370.617498617835	0.0016752727363633646	0.0018330000090909238	0.00015772727272755915	11	bcc
5	Al	11	base centered monoclinic	2900.4847717917523	0.00013627271818172915	3.190908181815999e-05	-0.00010436363636356916	22	bcc
6	W	3	body centered tetragonal	1.732051819101815	0.05640969733333456	0.08676336400000118	0.030353666666666612	3	bcc
7	W	3	body centered tetragonal	7.3131076806521076	0.0063613026666669015	0.0006163640000007575	-0.005744938666666144	6	bcc
8	W	3	body centered tetragonal	19.245020212242391	0.0019380306666665348	0.0070820306666679045	0.00514400000000137	9	bcc
9	W	3	body centered tetragonal	40.414542445709017	0.0009076973333339566	0.004821364000001438	0.003913666666667481	12	bcc
10	W	3	body centered tetragonal	73.131076806521079	0.0004559693333323622	0.0026603640000004702	0.002204394666668108	15	bcc
11	W	3	body centered tetragonal	120.28137632651493	3.736400000065032e-05	0.0026170306666681853	0.002579666666667535	18	bcc
12	W	3	body centered tetragonal	184.17484343115967	7.569733333490092e-05	0.002276030666665818	0.002200333333330917	21	bcc
13	W	4	body centered orthorhombic	4.8754051204347393	0.020705886000000007	0.013966385999999886	-0.00673950000000012	4	bcc
14	W	4	body centered orthorhombic	20.528021559725218	0.005087385999999583	0.0016186359999998956	-0.0034687499999996874	6	bcc
15	W	4	body centered orthorhombic	25.660026949656523	0.004964864000001512	0.007345114000001374	0.0023802499999998616	8	bcc
16	W	4	body centered orthorhombic	112.90411857848869	0.00014261400000137314	0.0020396140000009666	0.0018969999999995935	10	bcc
17	W	4	body centered orthorhombic	74.414078154003917	0.0009208640000011314	0.0024476140000011526	0.0015267500000000211	12	bcc
18	W	4	body centered orthorhombic	326.39554279963096	0.00020186400000099525	0.0014848640000000302	0.001282999999999035	14	bcc
19	W	4	body centered orthorhombic	163.96757220830517	0.00030786400000160086	0.0014093640000005792	0.0011014999999989783	16	bcc
20	W	4	body centered orthorhombic	710.2695459664925	2.4614000000866554e-05	0.001009864000000249	0.0009852499999993825	18	bcc
21	W	4	body centered orthorhombic	306.1241215094023	0.00013586400000065169	0.0010168640000003393	0.0008809999999996876	20	bcc
22	W	4	body centered orthorhombic	1313.793379822414	4.1359999993773044e-06	0.0007953640000000206	0.0007912280000006433	22	bcc
23	W	6	base centered orthorhombic	13.856414552814522	0.006356469333333337	0.04000646933333307	0.033649999999999736	6	bcc
24	W	6	base centered orthorhombic	60.044463062196265	0.00011230266666473199	0.028319969333331585	0.028207666666666853	9	bcc
25	W	6	base centered orthorhombic	79.674383678683512	0.0009128640000000132	0.024101802666665506	0.023188938666665493	12	bcc
26	W	6	base centered orthorhombic	362.5761807986467	0.00014969733333458635	0.023068302666665375	0.022918605333330788	15	bcc
27	W	6	base centered orthorhombic	238.63825063180568	4.2530666668483263e-05	0.02194996933333293	0.021907438666664447	18	bcc
28	W	6	base centered orthorhombic	1071.5627254176563	3.4693333308410956e-06	0.021035469333332557	0.021032000000001716	21	bcc
29	W	8	simple tetragonal	4.6188048509381749	0.02071363599999998	0.014729885999999581	-0.0059837500000003985	4	bcc
30	W	8	simple tetragonal	20.528021559725222	0.004957614000000277	0.011555114000000088	0.006597499999999812	8	bcc
31	W	8	simple tetragonal	50.293652821326788	0.0009126140000006444	0.007306364000001508	0.006393750000000864	12	bcc
32	W	8	simple tetragonal	106.23251157157802	0.0003001140000016278	0.006611364000001174	0.006311249999999546	16	bcc
33	W	8	simple tetragonal	186.29179565450639	0.00012761400000016465	0.006385114000000414	0.006257500000000249	20	bcc
34	W	8	simple tetragonal	7.6980080848969576	0.008058864000000554	0.016836364000001325	0.00877750000000077	4	fcc
35	W	8	simple tetragonal	33.358035034553481	0.007641364000001261	0.016228864000000343	0.008587499999999082	8	fcc
36	W	8	simple tetragonal	93.402498096749753	0.0017976140000008911	0.010293864000001207	0.008496250000000316	12	fcc
37	W	8	simple tetragonal	193.98980373940333	0.0009748859999998416	0.007450114000000951	0.00647522800000111	16	fcc
38	W	8	simple tetragonal	355.64797352223945	5.9885999998954276e-05	0.008196364000001566	0.008136478000002612	20	fcc
39	W	10	triclinic	32.716534360812069	0.0022056359999975683	0.002627635999997935	0.0004220000000003665	5	sc
40	W	10	triclinic	513.20053899313052	0.0008303639999986956	0.0005553640000002247	-0.0002749999999984709	20	sc
41	W	10	triclinic	64.791568047882734	0.001656635999999878	0.0023456359999993737	0.0006889999999994956	5	bcc
42	W	10	triclinic	129.58313609576547	0.0010736359999992118	0.0017506359999988064	0.0006769999999995946	10	bcc
43	W	10	triclinic	385.54190491858935	6.863599999817893e-05	0.0007736359999981346	0.0007049999999999557	15	bcc
44	W	10	triclinic	1028.9670806812267	0.00013336399999985815	0.0004976359999986357	0.0003642719999987776	20	bcc
45	W	10	triclinic	32.075033687070658	0.0010273639999986983	0.002742364000001274	0.0017150000000025756	5	fcc
46	W	10	triclinic	256.60026949656526	0.0037953640000001343	0.006589363999999875	0.002793999999999741	10	fcc
47	W	10	triclinic	866.02590955090784	0.001290364000000821	0.0035033640000001753	0.0022129999999993544	15	fcc
48	W	11	base centered orthorhombic	186.29179565450642	0.0004254549090916271	0.02367545418181649	0.023249999272724864	11	bcc
49	W	11	base centered orthorhombic	1428.2371000178825	0.00013636327272514848	0.023128181454545427	0.022991818181820278	22	bcc
50	K	3	body centered tetragonal	8.0704889160854201	0.01248130000000014	0.021823266666666674	0.009341966666666535	3	bcc
51	K	3	body centered tetragonal	34.075397645693997	0.003485999999999878	0.0019212666666665879	-0.0015647333333332902	6	bcc
52	K	3	body centered tetragonal	89.672099067615775	0.0006321000000000243	0.0017546666666667932	0.0011225666666667689	9	bcc
53	K	3	body centered tetragonal	188.31140804199313	0.00010533333333340167	0.0011067666666666476	0.001001433333333246	12	bcc
54	K	3	body centered tetragonal	340.75397645693999	0.00010559999999992797	0.000661433333333461	0.000555833333333533	15	bcc
55	K	3	body centered tetragonal	560.45061917259864	6.310000000020466e-05	0.0007103666666667952	0.0006472666666665905	18	bcc
56	K	3	body centered tetragonal	858.16198807708304	1.2499999999970868e-05	0.0005730333333333615	0.0005605333333333906	21	bcc
57	K	4	body centered orthorhombic	22.716931763796001	0.0005251749999999333	0.0019804750000000926	0.0014553000000001592	4	bcc
58	K	4	body centered orthorhombic	95.650239005456839	0.00031724999999993564	0.0019724500000000145	0.0016552000000000788	6	bcc
59	K	4	body centered orthorhombic	119.56279875682105	0.0009408499999998821	0.00028804999999998415	-0.0006527999999998979	8	bcc
60	K	4	body centered orthorhombic	526.07631453001261	8.609999999986684e-05	0.0010004000000001234	0.0009143000000002566	10	bcc
61	K	4	body centered orthorhombic	346.73211639478109	8.610000000008888e-05	0.0009556750000001557	0.0008695750000000668	12	bcc
62	K	4	body centered orthorhombic	1520.8388001867638	2.2399999999977993e-05	0.0007560500000001191	0.0007336500000001411	14	bcc
63	K	4	body centered orthorhombic	764.00628405608654	6.857500000001515e-05	0.0005812750000000477	0.0005127000000000326	16	bcc
64	K	4	body centered orthorhombic	3309.498269588807	6.324999999973713e-06	0.0005804499999999546	0.0005741249999999809	18	bcc
65	K	4	body centered orthorhombic	1426.3841891688753	1.8124999999979963e-05	0.0005412000000000194	0.0005230750000000395	20	bcc
66	K	4	body centered orthorhombic	6121.6152963492377	3.5750000000334126e-06	0.00047715000000003727	0.00047357500000000385	22	bcc
67	K	6	base centered orthorhombic	64.563911328683361	0.0034935999999998746	0.005543049999999994	0.0020494500000001192	6	bcc
68	K	6	base centered orthorhombic	279.77694909096124	0.00045903333333319196	0.006865216666666729	0.006406183333333537	9	bcc
69	K	6	base centered orthorhombic	371.24249013992932	9.776666666683198e-05	0.006452033333333329	0.006354266666666497	12	bcc
70	K	6	base centered orthorhombic	1689.4223464338813	1.6583333333430872e-05	0.005747766666666765	0.005731183333333334	15	bcc
71	K	6	base centered orthorhombic	1111.9340284384357	5.555000000012633e-05	0.005441716666666707	0.005386166666666581	18	bcc
72	K	6	base centered orthorhombic	4992.9424760848469	1.0333333333445438e-05	0.0051691833333333825	0.005158849999999937	21	bcc
73	K	8	simple tetragonal	21.521303776227789	0.0004578250000000228	0.006257425000000039	0.005799600000000016	4	bcc
74	K	8	simple tetragonal	95.650239005456839	0.0008735250000000416	0.0063389750000000245	0.005465449999999983	8	bcc
75	K	8	simple tetragonal	234.34308556336924	0.0001534375000000754	0.005085924999999936	0.00493248749999986	12	bcc
76	K	8	simple tetragonal	494.98998685323909	1.2624999998767095e-06	0.005152787499999922	0.005151525000000046	16	bcc
77	K	8	simple tetragonal	868.02591897452078	8.54375000001184e-05	0.004999637499999876	0.004914199999999758	20	bcc
78	K	8	simple tetragonal	35.868839627046313	0.004133425000000024	0.0019015125000001465	-0.0022319124999998774	4	fcc
79	K	8	simple tetragonal	155.43163838386735	0.00038241250000004	0.002578762499999998	0.002196349999999958	8	fcc
80	K	8	simple tetragonal	435.20858747482862	1.8649999999897915e-05	0.0023636874999999336	0.0023450375000000356	12	fcc
81	K	8	simple tetragonal	903.8947586015671	0.00010140000000014027	0.002221162499999929	0.002119762499999789	16	fcc
82	K	8	simple tetragonal	1657.1403907695396	6.997500000016643e-05	0.0022274624999998327	0.0021574874999996663	20	fcc
83	K	10	triclinic	152.44256841494686	0.0027176000000002087	0.003097200000000022	0.0003795999999998134	5	sc
84	K	10	triclinic	2391.2559751364211	7.979999999996323e-05	0.0002397999999999012	0.00015999999999993797	20	sc
85	K	10	triclinic	301.89606686097318	0.0003151000000001236	0.0005948000000000064	0.0002796999999998828	5	bcc
86	K	10	triclinic	603.79213372194636	0.00044690000000002783	0.000712299999999999	0.0002653999999999712	10	bcc
87	K	10	triclinic	1796.4310513212365	0.0001269000000001519	0.0003823000000000576	0.0002553999999999057	15	bcc
88	K	10	triclinic	4794.4682301485245	3.1300000000067385e-05	0.00028780000000017125	0.00025650000000010387	20	bcc
89	K	10	triclinic	149.45349844602632	0.0015156000000000613	0.00029999999999996696	-0.0012156000000000944	5	fcc
90	K	10	triclinic	1195.6279875682105	0.0002907000000000881	0.0019115999999999023	0.0016208999999998142	10	fcc
91	K	10	triclinic	4035.2444580427109	4.260000000022579e-05	0.0012503999999999849	0.001207799999999759	15	fcc
92	K	11	base centered orthorhombic	868.02591897452078	0.0005779999999999674	0.007018272727272734	0.006440272727272767	11	bcc
93	K	11	base centered orthorhombic	6654.8653788046595	2.0636363636361565e-05	0.005838909090909228	0.005818272727272866	22	bcc
94	Pd	10	base centered monoclinic	19.49037643163599	0.013253999999999877	0.008485499999999924	-0.004768499999999953	5	bcc
95	Pd	10	base centered monoclinic	139.57624412332871	0.0020889999999997855	0.004222200000000065	0.0021332000000002793	10	bcc
96	Pd	10	base centered monoclinic	443.87760518500028	0.0004999000000003306	0.0008653000000000688	0.00036539999999973816	15	bcc
97	Pd	10	base centered monoclinic	1044.9356654638391	4.559999999997899e-05	0.00099149999999959	0.0009458999999996109	20	bcc
98	Pd	11	base centered monoclinic	349.94656522092237	0.0012685454545451336	0.001429727272727277	0.0001611818181821434	11	bcc
99	V	3	body centered tetragonal	1.4489839455004694	0.03683812116666729	0.013594454499999742	-0.02324366666666755	3	bcc
100	V	3	body centered tetragonal	6.1179322143353145	0.0006512121666659709	0.012436545499999951	0.01178533333333398	6	bcc
101	V	3	body centered tetragonal	16.099821616671882	0.0021922121666673178	0.010030878833331869	0.007838666666664551	9	bcc
102	V	3	body centered tetragonal	33.809625395010947	0.0006038788333331269	0.006511212166666169	0.0059073333333330424	12	bcc
103	V	3	body centered tetragonal	61.179322143353147	0.0002594545000000892	0.004469545499999228	0.004210090999999139	15	bcc
104	V	3	body centered tetragonal	100.62388510419926	6.245450000008645e-05	0.0038708788333323696	0.003808424333332283	18	bcc
105	V	3	body centered tetragonal	154.07529287154989	5.754550000069969e-05	0.0034318788333340677	0.003374333333333368	21	bcc
106	V	4	body centered orthorhombic	4.0786214762235424	0.016937795499998742	0.02296254550000043	0.0060247500000016885	4	bcc
107	V	4	body centered orthorhombic	17.173143057783339	0.0008147955000001872	0.005733545500000048	0.004918749999999861	6	bcc
