,0,1,2,3,4,5,6,7,8,9
0,7.0381,6.4412,6.6371,6.6546,6.7181,6.7452,6.7808,6.749,6.7261,6.704
1,-14.26,-13.685,-13.894,-13.915,-13.975,-14.003,-14.035,-14.005,-13.984,-13.962
2,-0.28119,-0.27543,-0.2739,-0.27094,-0.27558,-0.27442,-0.27808,-0.27617,-0.27498,-0.274
3,-0.00010431,-0.00010342,-0.00010314,-0.00010166,-0.0001039,-0.00010282,-0.00010457,-0.0001039,-0.00010247,-0.00010273
4,-1.9844e-09,-1.6702e-09,-2.5192e-09,-1.8454e-09,-2.4499e-09,-2.4253e-09,-1.9761e-09,-1.7598e-09,-3.4481e-09,-2.7176e-09
5,0.025864,0.026098,0.025968,0.025968,0.025976,0.025931,0.025946,0.025977,0.025926,0.025948
6,0.019053,0.019073,0.01909,0.019051,0.019058,0.019053,0.019055,0.019072,0.019043,0.019053
7,-8.9267e-06,-7.3232e-06,-8.3181e-06,-8.1706e-06,-7.709e-06,-8.113e-06,-8.0426e-06,-7.9757e-06,-8.0855e-06,-7.9159e-06
