,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,37.498,37.498,34.222,34.222,38.862,34.812,34.812,35.571,35.571,34.727,34.727,35.588,35.283,35.787,35.787,35.507,34.959,34.959,35.481,35.344,35.211,35.211,35.211,35.192,35.192,35.428,35.428,35.428,35.545,35.545,35.651,35.651,35.651,35.346,35.346,35.481,35.481,35.481,35.402,35.402,35.341,35.471,35.385,35.385,35.385,35.385,35.385,35.34,35.484,35.484,35.484,35.455,35.455,35.455,35.455,35.455,35.455,35.455
1,-59.698,-59.698,-58.682,-58.682,-62.921,-59.235,-59.235,-60.04,-60.04,-59.141,-59.141,-59.975,-59.706,-60.164,-60.164,-59.921,-59.39,-59.39,-59.905,-59.758,-59.63,-59.63,-59.63,-59.613,-59.613,-59.85,-59.85,-59.85,-59.95,-59.95,-60.043,-60.043,-60.043,-59.782,-59.782,-59.899,-59.899,-59.899,-59.817,-59.817,-59.762,-59.889,-59.8,-59.8,-59.8,-59.8,-59.8,-59.764,-59.9,-59.9,-59.9,-59.871,-59.871,-59.871,-59.871,-59.871,-59.871,-59.871
2,-2.2249,-2.2249,-2.0679,-2.0679,-2.3424,-2.1618,-2.1618,-2.1356,-2.1356,-2.1914,-2.1914,-2.2104,-2.1845,-2.2307,-2.2307,-2.1927,-2.1769,-2.1769,-2.1832,-2.1932,-2.1888,-2.1888,-2.1888,-2.1866,-2.1866,-2.1855,-2.1855,-2.1855,-2.2025,-2.2025,-2.2155,-2.2155,-2.2155,-2.1721,-2.1721,-2.1889,-2.1889,-2.1889,-2.1929,-2.1929,-2.187,-2.1894,-2.1922,-2.1922,-2.1922,-2.1922,-2.1922,-2.1843,-2.192,-2.192,-2.192,-2.1915,-2.1915,-2.1915,-2.1915,-2.1915,-2.1915,-2.1915
3,-0.01455,-0.01455,-0.013179,-0.013179,-0.015119,-0.013811,-0.013811,-0.013674,-0.013674,-0.014099,-0.014099,-0.014099,-0.01393,-0.014255,-0.014255,-0.014016,-0.013922,-0.013922,-0.013983,-0.013974,-0.01406,-0.01406,-0.01406,-0.013929,-0.013929,-0.01398,-0.01398,-0.01398,-0.014117,-0.014117,-0.0142,-0.0142,-0.0142,-0.013877,-0.013877,-0.013995,-0.013995,-0.013995,-0.014045,-0.014045,-0.013996,-0.013984,-0.014032,-0.014032,-0.014032,-0.014032,-0.014032,-0.013954,-0.013983,-0.013983,-0.013983,-0.013999,-0.013999,-0.013999,-0.013999,-0.013999,-0.013999,-0.013999
4,-9.1989e-05,-9.1989e-05,-7.8948e-05,-7.8948e-05,-9.1851e-05,-8.4065e-05,-8.4065e-05,-8.3381e-05,-8.3381e-05,-8.506e-05,-8.506e-05,-8.6669e-05,-8.5952e-05,-8.7312e-05,-8.7312e-05,-8.6076e-05,-8.5077e-05,-8.5077e-05,-8.5863e-05,-8.5706e-05,-8.5575e-05,-8.5575e-05,-8.5575e-05,-8.5387e-05,-8.5387e-05,-8.5443e-05,-8.5443e-05,-8.5443e-05,-8.6274e-05,-8.6274e-05,-8.6789e-05,-8.6789e-05,-8.6789e-05,-8.4944e-05,-8.4944e-05,-8.5748e-05,-8.5748e-05,-8.5748e-05,-8.5651e-05,-8.5651e-05,-8.5737e-05,-8.5749e-05,-8.5605e-05,-8.5605e-05,-8.5605e-05,-8.5605e-05,-8.5605e-05,-8.5367e-05,-8.553e-05,-8.553e-05,-8.553e-05,-8.5661e-05,-8.5661e-05,-8.5661e-05,-8.5661e-05,-8.5661e-05,-8.5661e-05,-8.5661e-05
5,0.055485,0.055485,0.023898,0.023898,0.020144,0.016873,0.016873,0.016873,0.016873,0.016891,0.016891,0.016892,0.01666,0.01669,0.01669,0.01662,0.016685,0.016685,0.016692,0.016711,0.016703,0.016703,0.016703,0.016649,0.016649,0.016702,0.016702,0.016702,0.016668,0.016668,0.016697,0.016697,0.016697,0.016704,0.016704,0.016696,0.016696,0.016696,0.016706,0.016706,0.016713,0.016696,0.0167,0.0167,0.0167,0.0167,0.0167,0.016696,0.01671,0.01671,0.01671,0.016695,0.016695,0.016695,0.016695,0.016695,0.016695,0.016695
6,0.030256,0.030256,0.025021,0.025021,0.023414,0.021833,0.021833,0.021891,0.021891,0.022077,0.022077,0.022022,0.02187,0.021942,0.021942,0.021867,0.021922,0.021922,0.021941,0.021919,0.021914,0.021914,0.021914,0.021857,0.021857,0.021938,0.021938,0.021938,0.021881,0.021881,0.021936,0.021936,0.021936,0.02193,0.02193,0.021936,0.021936,0.021936,0.021924,0.021924,0.021929,0.021936,0.021932,0.021932,0.021932,0.021932,0.021932,0.021938,0.02192,0.02192,0.02192,0.021938,0.021938,0.021938,0.021938,0.021938,0.021938,0.021938
7,-0.0069013,-0.0069013,-0.0043954,-0.0043954,-0.0045753,-0.0039343,-0.0039343,-0.0038606,-0.0038606,-0.0039282,-0.0039282,-0.0039149,-0.003866,-0.0038918,-0.0038918,-0.0038682,-0.003885,-0.003885,-0.003889,-0.0038823,-0.0038823,-0.0038823,-0.0038823,-0.0038667,-0.0038667,-0.0038872,-0.0038872,-0.0038872,-0.0038736,-0.0038736,-0.0038857,-0.0038857,-0.0038857,-0.0038851,-0.0038851,-0.0038861,-0.0038861,-0.0038861,-0.003887,-0.003887,-0.0038875,-0.0038861,-0.0038861,-0.0038861,-0.0038861,-0.0038861,-0.0038861,-0.0038864,-0.0038846,-0.0038846,-0.0038846,-0.0038863,-0.0038863,-0.0038863,-0.0038863,-0.0038863,-0.0038863,-0.0038863
8,-0.0011699,-0.0011699,-0.0006281,-0.0006281,-0.00066561,-0.00066369,-0.00066369,-0.00063697,-0.00063697,-0.00066096,-0.00066096,-0.00065946,-0.00065211,-0.00065569,-0.00065569,-0.0006551,-0.00065209,-0.00065209,-0.00065626,-0.00065626,-0.00065475,-0.00065475,-0.00065475,-0.00065446,-0.00065446,-0.00065542,-0.00065542,-0.00065542,-0.0006542,-0.0006542,-0.0006559,-0.0006559,-0.0006559,-0.00065589,-0.00065589,-0.00065546,-0.00065546,-0.00065546,-0.0006537,-0.0006537,-0.0006549,-0.00065558,-0.00065514,-0.00065514,-0.00065514,-0.00065514,-0.00065514,-0.00065543,-0.00065555,-0.00065555,-0.00065555,-0.00065549,-0.00065549,-0.00065549,-0.00065549,-0.00065549,-0.00065549,-0.00065549
9,-0.0003547,-0.0003547,-0.00012029,-0.00012029,-0.00010235,-8.3145e-05,-8.3145e-05,-8.2531e-05,-8.2531e-05,-8.2116e-05,-8.2116e-05,-8.1199e-05,-8.1053e-05,-8.1451e-05,-8.1451e-05,-8.0446e-05,-8.1699e-05,-8.1699e-05,-8.1101e-05,-8.1106e-05,-8.1276e-05,-8.1276e-05,-8.1276e-05,-8.0643e-05,-8.0643e-05,-8.1219e-05,-8.1219e-05,-8.1219e-05,-8.1043e-05,-8.1043e-05,-8.1157e-05,-8.1157e-05,-8.1157e-05,-8.1112e-05,-8.1112e-05,-8.1174e-05,-8.1174e-05,-8.1174e-05,-8.1676e-05,-8.1676e-05,-8.1544e-05,-8.1135e-05,-8.1206e-05,-8.1206e-05,-8.1206e-05,-8.1206e-05,-8.1206e-05,-8.1142e-05,-8.1243e-05,-8.1243e-05,-8.1243e-05,-8.1139e-05,-8.1139e-05,-8.1139e-05,-8.1139e-05,-8.1139e-05,-8.1139e-05,-8.1139e-05
