,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,44.695,38.909,46.072,43.952,44.157,44.35,43.397,43.721,44.503,43.966,44.178,44.353,43.752,44.238,44.177,43.925,44.012,44.224,44.017,43.953,44.082,44.132
1,-70.219,-63.969,-71.459,-69.352,-69.538,-69.751,-68.834,-69.16,-69.922,-69.401,-69.609,-69.76,-69.203,-69.649,-69.614,-69.358,-69.442,-69.651,-69.451,-69.383,-69.517,-69.55
2,-2.1234,-1.7652,-2.0624,-1.9979,-1.992,-1.9793,-1.9574,-1.9382,-1.979,-1.9603,-1.9603,-1.9739,-1.9469,-1.9885,-1.9629,-1.9544,-1.9612,-1.9647,-1.9607,-1.9661,-1.9583,-1.972
3,-0.0016226,-0.0013593,-0.0015218,-0.0015995,-0.0015753,-0.0015827,-0.0015467,-0.0014971,-0.0015173,-0.0015139,-0.0015481,-0.0015488,-0.0014768,-0.0015316,-0.0015188,-0.0015247,-0.0015232,-0.001538,-0.0015283,-0.0015369,-0.0015226,-0.0015588
4,-2.0736e-07,-1.9042e-07,-2.0346e-07,-2.1658e-07,-2.1531e-07,-2.2174e-07,-2.118e-07,-2.0702e-07,-2.0909e-07,-2.0815e-07,-2.1464e-07,-2.1277e-07,-2.0612e-07,-2.1036e-07,-2.0956e-07,-2.0899e-07,-2.0964e-07,-2.1308e-07,-2.1103e-07,-2.1028e-07,-2.1043e-07,-2.145e-07
5,0.94998,0.95636,0.97715,0.98203,0.98963,0.9787,0.98321,0.98205,0.98483,0.98157,0.98172,0.98022,0.98444,0.98419,0.9841,0.98675,0.98478,0.98062,0.9826,0.98414,0.98415,0.98378
6,0.38677,0.39202,0.39735,0.35977,0.4028,0.39225,0.38374,0.389,0.38515,0.39174,0.38403,0.38519,0.38595,0.39328,0.38961,0.3841,0.38583,0.3853,0.38601,0.3878,0.38625,0.38589
7,0.002382,0.0023518,0.0024624,0.0026059,0.002581,0.0029814,0.0032952,-0.0014047,-0.00056152,0.0029786,0.0013812,0.0017101,0.001201,0.0011586,0.0013256,0.00091957,0.0018175,0.00071817,0.0015671,0.0014952,0.0018399,0.0022152
8,0.00047843,0.00045222,0.00046602,0.00093793,0.00041304,7.6491e-05,1.0129e-05,0.0042574,0.0035926,7.691e-05,0.0014673,0.0011433,0.0016844,0.0017164,0.0015716,0.0019785,0.0010578,0.0021148,0.0012881,0.0013761,0.0010211,0.00064852
9,-1.2984e-06,-1.1918e-06,-1.6147e-06,-4.888e-06,-1.1164e-06,1.3395e-06,9.543e-06,5.3646e-06,-7.3708e-07,2.3662e-06,5.9071e-06,1.0325e-06,-6.8392e-07,1.3469e-06,-1.835e-06,8.733e-07,4.3612e-07,-1.0588e-06,-4.2985e-07,-1.4116e-06,9.5466e-08,1.6733e-06
