,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,7.3586,12.797,12.367,11.922,13.226,11.62,12.952,11.876,12.352,12.179,12.326,12.249,12.16,12.743,12.772,12.755,12.497,12.616,12.399,12.589,12.504,12.334,12.472,12.472,12.551,12.551,12.457,12.457,12.351,12.351,12.318,12.45
1,-22.383,-25.649,-25.879,-25.156,-26.512,-25.014,-26.287,-25.193,-25.69,-25.52,-25.659,-25.596,-25.506,-26.076,-26.117,-26.093,-25.835,-25.95,-25.739,-25.922,-25.839,-25.672,-25.808,-25.808,-25.889,-25.889,-25.797,-25.797,-25.69,-25.69,-25.659,-25.788
2,-0.33915,-0.44078,-0.35115,-0.35275,-0.35981,-0.34666,-0.36179,-0.34272,-0.37065,-0.35464,-0.35604,-0.35436,-0.35352,-0.35603,-0.35279,-0.36539,-0.36007,-0.3594,-0.35704,-0.36644,-0.36249,-0.35994,-0.36026,-0.36026,-0.35957,-0.35957,-0.35736,-0.35736,-0.35848,-0.35848,-0.35616,-0.35836
3,-2.961e-05,-4.0405e-05,-3.4644e-05,-3.8731e-05,-3.8098e-05,-4.2418e-05,-3.8392e-05,-3.7184e-05,-4.2274e-05,-3.9552e-05,-3.768e-05,-3.9341e-05,-3.9471e-05,-4.0288e-05,-3.7971e-05,-4.0985e-05,-4.0591e-05,-3.9847e-05,-4.1028e-05,-4.1261e-05,-4.1555e-05,-4.1656e-05,-4.109e-05,-4.109e-05,-3.9577e-05,-3.9577e-05,-3.9865e-05,-3.9865e-05,-3.9899e-05,-3.9899e-05,-4.0034e-05,-3.9825e-05
4,-6.815e-10,-2.0739e-09,-1.0849e-09,-1.6308e-09,-2.5747e-09,-1.7233e-09,-2.8308e-10,-2.2451e-09,-5.0261e-10,-1.6208e-09,-1.2809e-09,-2.3095e-09,-1.6472e-09,-1.6233e-09,-3.2827e-10,-1.0632e-09,-1.3418e-09,-1.5367e-09,-1.4921e-09,-1.1003e-09,-1.9002e-09,-1.5758e-09,-1.6704e-09,-1.6704e-09,-1.5353e-09,-1.5353e-09,-1.6e-09,-1.6e-09,-1.6746e-09,-1.6746e-09,-6.9684e-10,-5.8475e-10
5,0.52688,0.40271,0.45823,0.47723,0.48882,0.49662,0.49358,0.49516,0.49262,0.49166,0.49297,0.49331,0.49054,0.49076,0.49181,0.49066,0.49146,0.49297,0.49295,0.48995,0.49137,0.49166,0.49089,0.49089,0.49091,0.49091,0.4919,0.4919,0.49154,0.49154,0.49146,0.49097
6,0.20443,0.16421,0.18735,0.19517,0.18482,0.20234,0.19915,0.19661,0.1935,0.1973,0.19199,0.19177,0.19194,0.19357,0.19204,0.19579,0.19214,0.19213,0.19382,0.1941,0.1941,0.19437,0.19294,0.19294,0.1933,0.1933,0.19415,0.19415,0.19274,0.19274,0.19347,0.19418
7,0.0015657,0.0010665,0.0012251,0.0013984,0.0011469,0.0014887,0.0016322,0.0011433,0.0013532,0.00098853,0.00080731,0.0010803,0.00087377,0.0013892,-0.00027067,0.0015287,0.0014992,0.00069693,0.00094125,0.0011461,0.0010294,0.00071003,0.0010652,0.0010652,0.0013274,0.0013274,0.00064211,0.00064211,0.0011082,0.0011082,0.00093503,0.0010569
8,0.00010843,0.00016282,0.00015623,0.00017025,0.00057885,0.00018008,7.1158e-05,0.000666,0.00025413,0.00059716,0.00072598,0.0005435,0.00072523,0.00021526,0.0018147,0.00010811,0.00013566,0.00091866,0.0006912,0.00040706,0.00050655,0.00087709,0.00051472,0.00051472,0.00026282,0.00026282,0.00097618,0.00097618,0.00048153,0.00048153,0.0005794,0.00051698
9,-8.3193e-06,-2.2131e-06,-4.4368e-06,-5.8229e-06,-5.5612e-06,-7.1628e-06,-4.9174e-06,-5.2453e-06,-1.0398e-05,-1.0495e-05,-1.499e-05,-1.502e-05,-1.4625e-05,-9.609e-06,6.9348e-07,-5.7129e-06,-8.7423e-06,-1.7178e-05,-1.3097e-05,-1.088e-05,1.6755e-07,-1.4042e-05,-1.2265e-05,-1.2265e-05,-9.5785e-06,-9.5785e-06,-1.4905e-05,-1.4905e-05,-1.2195e-05,-1.2195e-05,3.3439e-07,-1.1569e-05
10,,,,,,,,,-1.5158e-06,-2.3821e-06,-2.3454e-06,-7.1598e-07,-1.82e-06,,,,,-2.287e-06,-4.0488e-06,-1.9247e-06,,-3.9552e-06,-2.5268e-06,-2.5268e-06,,,-3.5878e-06,-3.5878e-06,-2.6759e-06,-2.6759e-06,,-3.2058e-06
