,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,21.402,23.508,21.609,24.393,23.181,22.7,23.203,23.047,22.88,23.159,23.058,22.479,23.553,22.767,22.582,22.954,22.788,22.902,22.964,22.976,22.669,22.838,22.859,22.679,22.841,22.643,22.508,22.873,22.679,22.774,22.929,22.673,22.626,22.734,22.807
1,-45.614,-48.967,-46.578,-49.031,-47.864,-47.493,-48.098,-47.746,-47.71,-47.994,-47.887,-47.386,-48.346,-47.602,-47.451,-47.805,-47.641,-47.756,-47.828,-47.813,-47.542,-47.702,-47.725,-47.543,-47.693,-47.508,-47.374,-47.728,-47.546,-47.639,-47.784,-47.534,-47.494,-47.601,-47.669
2,-1.3999,-1.6384,-1.3988,-1.5728,-1.4904,-1.4877,-1.5075,-1.5159,-1.5219,-1.515,-1.5221,-1.4699,-1.5399,-1.527,-1.4846,-1.4986,-1.4927,-1.4962,-1.504,-1.5102,-1.4829,-1.4855,-1.4891,-1.4912,-1.5007,-1.4904,-1.488,-1.5024,-1.4906,-1.4911,-1.5009,-1.4934,-1.4892,-1.4895,-1.4938
3,-0.0070953,-0.0078151,-0.0068295,-0.0078075,-0.0071988,-0.0071194,-0.0073904,-0.0074922,-0.0073822,-0.0074114,-0.0074875,-0.0071492,-0.0074657,-0.0074942,-0.0072575,-0.0073166,-0.0073125,-0.0072979,-0.0072873,-0.0073624,-0.007245,-0.0072136,-0.007279,-0.0073007,-0.0073159,-0.007278,-0.0072485,-0.0073124,-0.007282,-0.0072845,-0.0073351,-0.007296,-0.0072689,-0.0072671,-0.0072952
4,-6.0148e-05,-5.9804e-05,-5.6486e-05,-6.1199e-05,-5.7667e-05,-5.6481e-05,-5.9128e-05,-6.0254e-05,-5.9139e-05,-5.916e-05,-6.0239e-05,-5.7639e-05,-5.9389e-05,-6.0095e-05,-5.8296e-05,-5.9028e-05,-5.8632e-05,-5.914e-05,-5.8595e-05,-5.9171e-05,-5.8141e-05,-5.7886e-05,-5.892e-05,-5.8927e-05,-5.8734e-05,-5.8578e-05,-5.8467e-05,-5.8842e-05,-5.8678e-05,-5.8669e-05,-5.8896e-05,-5.8693e-05,-5.8436e-05,-5.8542e-05,-5.8608e-05
5,0.088219,0.087951,0.091357,0.091542,0.092441,0.095103,0.091183,0.091402,0.090486,0.090974,0.091901,0.090859,0.09089,0.090793,0.090766,0.091193,0.091184,0.091555,0.091433,0.090646,0.09098,0.090931,0.090859,0.090785,0.090788,0.090736,0.090853,0.090797,0.090709,0.090822,0.090768,0.090733,0.09085,0.090874,0.090757
6,0.065749,0.063326,0.067354,0.067208,0.068038,0.069335,0.066677,0.067181,0.06636,0.067046,0.067274,0.066775,0.066761,0.066752,0.066628,0.066985,0.06678,0.067142,0.067106,0.066554,0.066819,0.066777,0.066724,0.06663,0.06672,0.066661,0.066677,0.066684,0.066599,0.066708,0.066677,0.066645,0.06671,0.066725,0.066645
7,-4.7742e-05,-3.8698e-05,-4.8688e-05,-5.2504e-05,-5.0868e-05,-4.4684e-05,-4.8219e-05,-5.0751e-05,-5.2522e-05,-5.4642e-05,-4.9337e-05,-5.3319e-05,-5.2944e-05,-5.2206e-05,-5.3417e-05,-5.2579e-05,-5.0408e-05,-5.1293e-05,-5.2399e-05,-5.284e-05,-5.2573e-05,-5.2624e-05,-5.2676e-05,-5.2068e-05,-5.3236e-05,-5.3026e-05,-5.2207e-05,-5.3015e-05,-5.2623e-05,-5.2869e-05,-5.3228e-05,-5.2954e-05,-5.2889e-05,-5.285e-05,-5.2712e-05
8,3.973e-07,-2.7595e-06,-4.6113e-07,-1.2748e-06,-8.3182e-07,-4.4076e-07,-1.4591e-06,-1.2581e-06,-1.5023e-06,-9.1362e-07,-8.4982e-07,-1.42e-06,-1.229e-06,-1.3965e-06,-1.2304e-06,-1.2374e-06,-1.1678e-06,-1.2169e-06,-1.1505e-06,-1.2313e-06,-1.2097e-06,-1.2088e-06,-1.2968e-06,-1.3399e-06,-1.2197e-06,-1.3286e-06,-1.3492e-06,-1.2708e-06,-1.3782e-06,-1.319e-06,-1.2557e-06,-1.3057e-06,-1.3002e-06,-1.2993e-06,-1.333e-06
