,0,1,2,3,4,5,6,7,8
0,53.742,51.264,52.787,52.661,52.668,52.37,53.295,53.265,52.43
1,-77.33,-75.304,-76.403,-76.442,-76.505,-76.06,-76.932,-76.963,-76.244
2,-2.5543,-2.4421,-2.5815,-2.493,-2.4817,-2.5877,-2.6314,-2.5741,-2.4575
3,-0.0028447,-0.0021473,-0.0026948,-0.0034244,-0.0032146,-0.0026494,-0.0032066,-0.0033304,-0.0029779
4,-2.109e-06,-2.2865e-06,-2.1828e-06,-3.6731e-06,-3.5203e-06,-2.555e-06,-3.1209e-06,-3.4835e-06,-2.8925e-06
5,1.1933,1.1471,1.1548,1.1068,1.0851,1.1094,1.0905,1.1016,1.0907
6,0.4382,0.31862,0.38204,0.3807,0.37447,0.37266,0.36212,0.35077,0.36066
7,0.0069591,0.0062916,0.0039596,0.0050966,0.0053685,0.0046666,0.0038737,0.0052795,0.0052456
8,0.00046839,0.00021942,0.0021471,0.0010518,0.00071409,0.0010845,0.0018404,0.00075233,0.00059431
9,-1.1969e-05,-1.4375e-05,-2.71e-05,-6.4402e-06,-4.4884e-06,1.3221e-05,-3.063e-06,-8.033e-06,-1.1636e-05
10,-5.8058e-07,3.9033e-07,1.3194e-05,,,-1.9349e-06,,,-1.6551e-06
11,,,-4.0875e-08,,,,,,
