,0
0,981.9
1,-1037.8
2,-118.57
3,-8.9383
4,-0.42907
5,7.6514
6,2.3458
7,0.033585
8,0.003697
9,0.00051767
10,5.1882e-05
11,-7.0918e-05
12,-7.204e-06
