,0
0,-5.3858
1,-4.876
2,-0.051965
3,-3.396e-06
4,-9.4019e-11
5,1.3998
6,0.061574
7,0.00074264
8,0.01002
9,0.00023981
10,0.00019181
11,-1.5575e-06
