,0,1,2,3
0,500.28,501.53,500.91,500.48
1,-508.91,-511.04,-510.03,-509.65
2,-53.201,-52.501,-52.83,-52.792
3,-4.4297,-4.3647,-4.4266,-4.4163
4,-0.29987,-0.29537,-0.29775,-0.29579
5,1.784,1.7732,1.7699,1.7692
6,0.47343,0.46286,0.46461,0.46533
7,-0.037957,-0.036482,-0.037091,-0.037365
8,0.0050406,0.0017238,0.0022164,0.002491
9,0.0051249,0.0063735,0.0061862,0.0060952
10,0.00026108,0.00063287,0.00075878,0.00079879
11,-1.441e-05,-2.2568e-05,-2.4964e-05,-2.5111e-05
12,-2.9482e-06,2.1787e-06,2.3841e-06,2.5723e-06
