,0,1,2,3,4,5
0,53.274,53.73,52.807,52.437,53.774,53.249
1,-76.461,-77.072,-76.352,-76.238,-77.525,-76.95
2,-2.677,-2.6254,-2.5524,-2.5099,-2.5453,-2.5977
3,-0.0037301,-0.0029791,-0.0036155,-0.0033325,-0.0030985,-0.0029294
4,-3.716e-06,-2.9009e-06,-3.5218e-06,-3.3479e-06,-3.0351e-06,-2.8728e-06
5,0.92733,1.1255,1.0496,1.0623,1.0849,1.0707
6,0.30817,0.28054,0.35095,0.3536,0.34857,0.3626
7,0.0025701,0.0080942,0.0050696,0.0061285,0.0058092,0.0047772
8,0.0031753,0.00062615,0.00061559,0.00022535,0.0015672,0.0011288
9,1.9266e-05,0.0002634,-1.0854e-05,-7.8243e-06,-1.4779e-05,-5.9686e-06
10,-1.2434e-06,-8.9462e-06,-9.1554e-07,,3.7995e-07,
