,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,35.72,35.155,35.155,35.155,36.484,36.484,35.364,34.754,34.754,35.699,35.699,34.959,35.222,35.222,35.673,35.673,34.764,34.764,35.52,35.52,35.014,34.787,34.787,35.187,35.275,34.959,34.959,35.237,35.121,35.042,34.929,35.167,35.167,34.999,35.201,35.201,35.201,35.147,35.149,35.149,35.149,35.056,35.056,35.056,35.124,35.124,35.124,35.124,35.152,35.152,35.057,35.195,35.195,35.195,35.195,35.149,35.149,35.149,35.161,35.108,35.108,35.108,35.1,35.206,35.206,35.206,35.206,35.231,35.231,35.231,35.231,35.231,35.218,35.197,35.197,35.197,35.223,35.163,35.163,35.163,35.163,35.163,35.163,35.094,35.094,35.094,35.094,35.094
1,-40.973,-40.308,-40.308,-40.308,-41.497,-41.497,-40.434,-39.865,-39.865,-40.78,-40.78,-40.11,-40.335,-40.335,-40.792,-40.792,-39.924,-39.924,-40.646,-40.646,-40.163,-39.94,-39.94,-40.328,-40.418,-40.11,-40.11,-40.386,-40.263,-40.2,-40.103,-40.301,-40.301,-40.152,-40.339,-40.339,-40.339,-40.294,-40.291,-40.291,-40.291,-40.207,-40.207,-40.207,-40.268,-40.268,-40.268,-40.268,-40.285,-40.285,-40.208,-40.335,-40.335,-40.335,-40.335,-40.287,-40.287,-40.287,-40.297,-40.256,-40.256,-40.256,-40.243,-40.348,-40.348,-40.348,-40.348,-40.367,-40.367,-40.367,-40.367,-40.367,-40.356,-40.339,-40.339,-40.339,-40.363,-40.304,-40.304,-40.304,-40.304,-40.304,-40.304,-40.241,-40.241,-40.241,-40.241,-40.241
2,-1.353,-1.425,-1.425,-1.425,-1.5639,-1.5639,-1.5072,-1.4668,-1.4668,-1.4961,-1.4961,-1.4267,-1.465,-1.465,-1.4584,-1.4584,-1.4183,-1.4183,-1.4511,-1.4511,-1.4291,-1.4242,-1.4242,-1.4362,-1.4345,-1.4269,-1.4269,-1.4281,-1.4354,-1.4188,-1.4045,-1.4432,-1.4432,-1.4239,-1.4399,-1.4399,-1.4399,-1.4304,-1.4355,-1.4355,-1.4355,-1.4266,-1.4266,-1.4266,-1.4343,-1.4343,-1.4343,-1.4343,-1.444,-1.444,-1.4269,-1.437,-1.437,-1.437,-1.437,-1.4393,-1.4393,-1.4393,-1.4417,-1.4294,-1.4294,-1.4294,-1.435,-1.4363,-1.4363,-1.4363,-1.4363,-1.4415,-1.4415,-1.4415,-1.4415,-1.4415,-1.44,-1.4355,-1.4355,-1.4355,-1.4374,-1.4362,-1.4362,-1.4362,-1.4362,-1.4362,-1.4362,-1.4311,-1.4311,-1.4311,-1.4311,-1.4311
3,-0.0022781,-0.0032251,-0.0032251,-0.0032251,-0.0035181,-0.0035181,-0.0033472,-0.0029512,-0.0029512,-0.0032121,-0.0032121,-0.002935,-0.0030134,-0.0030134,-0.00295,-0.00295,-0.0029309,-0.0029309,-0.0029906,-0.0029906,-0.0029508,-0.0029337,-0.0029337,-0.0029294,-0.0029614,-0.0028673,-0.0028673,-0.0028328,-0.002912,-0.0029087,-0.0028477,-0.0029748,-0.0029748,-0.0028853,-0.0029207,-0.0029207,-0.0029207,-0.0029045,-0.0029551,-0.0029551,-0.0029551,-0.002892,-0.002892,-0.002892,-0.0029226,-0.0029226,-0.0029226,-0.0029226,-0.0029687,-0.0029687,-0.002923,-0.0029276,-0.0029276,-0.0029276,-0.0029276,-0.0029291,-0.0029291,-0.0029291,-0.00296,-0.0029229,-0.0029229,-0.0029229,-0.0029258,-0.0029245,-0.0029245,-0.0029245,-0.0029245,-0.0029267,-0.0029267,-0.0029267,-0.0029267,-0.0029267,-0.002931,-0.0029335,-0.0029335,-0.0029335,-0.0029306,-0.0029251,-0.0029251,-0.0029251,-0.0029251,-0.0029251,-0.0029251,-0.0029174,-0.0029174,-0.0029174,-0.0029174,-0.0029174
4,-5.737e-06,-1.2239e-05,-1.2239e-05,-1.2239e-05,-1.2762e-05,-1.2762e-05,-1.0577e-05,-8.6054e-06,-8.6054e-06,-1.0919e-05,-1.0919e-05,-9.4417e-06,-9.1413e-06,-9.1413e-06,-9.0289e-06,-9.0289e-06,-9.6059e-06,-9.6059e-06,-9.6505e-06,-9.6505e-06,-9.6033e-06,-9.5642e-06,-9.5642e-06,-9.4092e-06,-9.7159e-06,-9.035e-06,-9.035e-06,-8.9121e-06,-9.3292e-06,-9.4514e-06,-9.1604e-06,-9.5536e-06,-9.5536e-06,-9.2002e-06,-9.3073e-06,-9.3073e-06,-9.3073e-06,-9.3039e-06,-9.5397e-06,-9.5397e-06,-9.5397e-06,-9.1859e-06,-9.1859e-06,-9.1859e-06,-9.4056e-06,-9.4056e-06,-9.4056e-06,-9.4056e-06,-9.595e-06,-9.595e-06,-9.4007e-06,-9.3951e-06,-9.3951e-06,-9.3951e-06,-9.3951e-06,-9.4061e-06,-9.4061e-06,-9.4061e-06,-9.5345e-06,-9.3209e-06,-9.3209e-06,-9.3209e-06,-9.3734e-06,-9.3445e-06,-9.3445e-06,-9.3445e-06,-9.3445e-06,-9.3608e-06,-9.3608e-06,-9.3608e-06,-9.3608e-06,-9.3608e-06,-9.3553e-06,-9.4531e-06,-9.4531e-06,-9.4531e-06,-9.3732e-06,-9.382e-06,-9.382e-06,-9.382e-06,-9.382e-06,-9.382e-06,-9.382e-06,-9.3012e-06,-9.3012e-06,-9.3012e-06,-9.3012e-06,-9.3012e-06
5,0.49172,0.49577,0.49577,0.49577,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.4959,0.49591,0.49591,0.4959,0.4959,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.4959,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.4959,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.4959,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591,0.49591
6,0.049292,0.04992,0.04992,0.04992,0.049947,0.049947,0.049969,0.049969,0.049969,0.049973,0.049973,0.04998,0.049973,0.049973,0.049989,0.049989,0.049969,0.049969,0.049971,0.049971,0.049966,0.04997,0.04997,0.049979,0.049973,0.049969,0.049969,0.049969,0.049972,0.049972,0.049975,0.049975,0.049975,0.049971,0.049972,0.049972,0.049972,0.049972,0.049971,0.049971,0.049971,0.049972,0.049972,0.049972,0.049971,0.049971,0.049971,0.049971,0.049976,0.049976,0.049973,0.049973,0.049973,0.049973,0.049973,0.049972,0.049972,0.049972,0.049976,0.049971,0.049971,0.049971,0.049979,0.049972,0.049972,0.049972,0.049972,0.049971,0.049971,0.049971,0.049971,0.049971,0.049979,0.049976,0.049976,0.049976,0.049972,0.049971,0.049971,0.049971,0.049971,0.049971,0.049971,0.049971,0.049971,0.049971,0.049971,0.049971
7,-0.0063632,-0.0043246,-0.0043246,-0.0043246,-0.004326,-0.004326,-0.0043267,-0.0043407,-0.0043407,-0.004337,-0.004337,-0.0043328,-0.0043372,-0.0043372,-0.0043327,-0.0043327,-0.0043292,-0.0043292,-0.0043282,-0.0043282,-0.0043274,-0.0043278,-0.0043278,-0.0043346,-0.0043284,-0.0043278,-0.0043278,-0.0043286,-0.0043339,-0.0043283,-0.0043348,-0.0043334,-0.0043334,-0.0043284,-0.0043282,-0.0043282,-0.0043282,-0.0043347,-0.004329,-0.004329,-0.004329,-0.0043283,-0.0043283,-0.0043283,-0.0043288,-0.0043288,-0.0043288,-0.0043288,-0.0043342,-0.0043342,-0.0043287,-0.0043288,-0.0043288,-0.0043288,-0.0043288,-0.0043281,-0.0043281,-0.0043281,-0.0043346,-0.0043284,-0.0043284,-0.0043284,-0.0043351,-0.0043285,-0.0043285,-0.0043285,-0.0043285,-0.0043287,-0.0043287,-0.0043287,-0.0043287,-0.0043287,-0.0043353,-0.0043343,-0.0043343,-0.0043343,-0.0043286,-0.0043286,-0.0043286,-0.0043286,-0.0043286,-0.0043286,-0.0043286,-0.0043285,-0.0043285,-0.0043285,-0.0043285,-0.0043285
8,-0.00083334,-0.00094491,-0.00094491,-0.00094491,-0.00086544,-0.00086544,-0.00086283,-0.00085234,-0.00085234,-0.00086172,-0.00086172,-0.00086079,-0.00086049,-0.00086049,-0.00087044,-0.00087044,-0.00086039,-0.00086039,-0.00086176,-0.00086176,-0.00086009,-0.00086298,-0.00086298,-0.00086284,-0.00086415,-0.00086269,-0.00086269,-0.00086054,-0.00086042,-0.00086338,-0.00086358,-0.00086354,-0.00086354,-0.00086317,-0.00086438,-0.00086438,-0.00086438,-0.000863,-0.00086184,-0.00086184,-0.00086184,-0.00086387,-0.00086387,-0.00086387,-0.00086193,-0.00086193,-0.00086193,-0.00086193,-0.00086332,-0.00086332,-0.00086371,-0.00086352,-0.00086352,-0.00086352,-0.00086352,-0.00086405,-0.00086405,-0.00086405,-0.00086383,-0.0008635,-0.0008635,-0.0008635,-0.00086434,-0.00086333,-0.00086333,-0.00086333,-0.00086333,-0.00086271,-0.00086271,-0.00086271,-0.00086271,-0.00086271,-0.00086442,-0.00086442,-0.00086442,-0.00086442,-0.00086342,-0.000863,-0.000863,-0.000863,-0.000863,-0.000863,-0.000863,-0.00086294,-0.00086294,-0.00086294,-0.00086294,-0.00086294
9,-0.00016151,3.1759e-05,3.1759e-05,3.1759e-05,-3.5479e-05,-3.548e-05,-4.4231e-05,-4.5502e-05,-4.5502e-05,-4.3186e-05,-4.3186e-05,-4.9624e-05,-4.3356e-05,-4.3356e-05,-4.3106e-05,-4.3106e-05,-4.0828e-05,-4.0828e-05,-4.1525e-05,-4.1525e-05,-4.1144e-05,-4.0386e-05,-4.0386e-05,-4.5014e-05,-4.0164e-05,-4.0237e-05,-4.0237e-05,-4.1437e-05,-4.5121e-05,-4.0702e-05,-4.3764e-05,-4.4067e-05,-4.4067e-05,-4.0229e-05,-3.988e-05,-3.988e-05,-3.988e-05,-4.2239e-05,-4.1029e-05,-4.1029e-05,-4.1029e-05,-4.0192e-05,-4.0192e-05,-4.0192e-05,-4.0917e-05,-4.0917e-05,-4.0917e-05,-4.0917e-05,-4.3859e-05,-4.3859e-05,-4.0261e-05,-4.0359e-05,-4.0359e-05,-4.0359e-05,-4.0359e-05,-4.0088e-05,-4.0088e-05,-4.0088e-05,-4.3313e-05,-4.0082e-05,-4.0082e-05,-4.0082e-05,-4.5845e-05,-4.0382e-05,-4.0382e-05,-4.0382e-05,-4.0382e-05,-4.0654e-05,-4.0654e-05,-4.0654e-05,-4.0654e-05,-4.0654e-05,-4.5284e-05,-4.2554e-05,-4.2554e-05,-4.2554e-05,-4.0331e-05,-4.0419e-05,-4.0419e-05,-4.0419e-05,-4.0419e-05,-4.0419e-05,-4.0419e-05,-4.0422e-05,-4.0422e-05,-4.0422e-05,-4.0422e-05,-4.0422e-05
