,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,100.62,100.62,103.36,103.36,104.56,102.07,103.92,101.8,101.8,102.28,102.28,102.28,102.25,101.53,102.08,102.08,102.28,101.83,101.83,101.83,102.21,102.21,102.58,102.58,101.78,101.86,101.86,101.95,101.95,101.95,102.23,102.23,102.22,102.22,102.22,102.12,102.12,102.31,102.31,102.31,102.31,102.24,102.2,102.2,101.95,101.95,101.95,101.95,101.95,101.95,102.06
1,-111.67,-111.67,-113.93,-113.93,-115.03,-112.89,-114.2,-112.75,-112.75,-112.91,-112.91,-112.91,-112.94,-112.3,-112.63,-112.63,-112.92,-112.49,-112.49,-112.49,-112.91,-112.91,-113.17,-113.17,-112.46,-112.57,-112.57,-112.61,-112.61,-112.61,-112.88,-112.88,-112.84,-112.84,-112.84,-112.77,-112.77,-112.93,-112.93,-112.93,-112.93,-112.87,-112.83,-112.83,-112.6,-112.6,-112.6,-112.6,-112.6,-112.6,-112.73
2,-8.5627,-8.5627,-9.0903,-9.0903,-9.1842,-8.8259,-9.3734,-8.7094,-8.7094,-9.0193,-9.0193,-9.0193,-8.9624,-8.8832,-9.1009,-9.1009,-9.0172,-8.9955,-8.9955,-8.9955,-8.9468,-8.9468,-9.0589,-9.0589,-8.9681,-8.9436,-8.9436,-8.9945,-8.9945,-8.9945,-9.0038,-9.0038,-9.0274,-9.0274,-9.0274,-9.0067,-9.0067,-9.0312,-9.0312,-9.0312,-9.0312,-9.0156,-9.0226,-9.0226,-9.007,-9.007,-9.007,-9.007,-9.007,-9.007,-8.9733
3,-0.08126,-0.08126,-0.085315,-0.085315,-0.090247,-0.085007,-0.090055,-0.084109,-0.084109,-0.088943,-0.088943,-0.088943,-0.086836,-0.086225,-0.088729,-0.088729,-0.088684,-0.088193,-0.088193,-0.088193,-0.086982,-0.086982,-0.088009,-0.088009,-0.087826,-0.087023,-0.087023,-0.087347,-0.087347,-0.087347,-0.087774,-0.087774,-0.087838,-0.087838,-0.087838,-0.08772,-0.08772,-0.087968,-0.087968,-0.087968,-0.087968,-0.087767,-0.087901,-0.087901,-0.088025,-0.088025,-0.088025,-0.088025,-0.088025,-0.088025,-0.087288
4,-0.0014885,-0.0014885,-0.0015287,-0.0015287,-0.0017109,-0.001596,-0.0016691,-0.0015659,-0.0015659,-0.0016973,-0.0016973,-0.0016973,-0.0016154,-0.0016301,-0.0016702,-0.0016702,-0.0016806,-0.0016577,-0.0016577,-0.0016577,-0.0016321,-0.0016321,-0.0016434,-0.0016434,-0.0016563,-0.0016336,-0.0016336,-0.0016273,-0.0016273,-0.0016273,-0.0016373,-0.0016373,-0.0016388,-0.0016388,-0.0016388,-0.0016397,-0.0016397,-0.0016434,-0.0016434,-0.0016434,-0.0016434,-0.0016426,-0.0016394,-0.0016394,-0.0016478,-0.0016478,-0.0016478,-0.0016478,-0.0016478,-0.0016478,-0.0016359
5,1.5274,1.5274,1.4889,1.4889,1.4891,1.489,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888,1.4888
6,0.15406,0.15406,0.14298,0.14298,0.14303,0.14312,0.143,0.14308,0.14308,0.14314,0.14314,0.14314,0.14313,0.14309,0.143,0.143,0.143,0.14307,0.14307,0.14307,0.14313,0.14313,0.14313,0.14313,0.14305,0.14313,0.14313,0.14305,0.14305,0.14305,0.14313,0.14313,0.14304,0.14304,0.14304,0.14308,0.14308,0.14304,0.14304,0.14304,0.14304,0.14312,0.14313,0.14313,0.14306,0.14306,0.14306,0.14306,0.14306,0.14306,0.14303
7,-0.0095462,-0.0095462,-0.0092544,-0.0092544,-0.0092017,-0.0092859,-0.0090273,-0.0091356,-0.0091356,-0.0090237,-0.0090237,-0.0090237,-0.0090647,-0.009068,-0.0091277,-0.0091277,-0.0091023,-0.0090921,-0.0090921,-0.0090921,-0.0090648,-0.0090648,-0.0090777,-0.0090777,-0.0091109,-0.0090544,-0.0090544,-0.009079,-0.009079,-0.009079,-0.0090623,-0.0090623,-0.0090849,-0.0090849,-0.0090849,-0.0090819,-0.0090819,-0.0090979,-0.0090979,-0.0090979,-0.0090979,-0.0090699,-0.00906,-0.00906,-0.0090883,-0.0090883,-0.0090883,-0.0090883,-0.0090883,-0.0090883,-0.0091017
8,0.00084077,0.00084077,0.0016438,0.0016438,0.0016426,0.0015951,0.0014765,0.0015262,0.0015262,0.0014358,0.0014358,0.0014358,0.0014699,0.0014819,0.0015553,0.0015553,0.0015299,0.0014992,0.0014992,0.0014992,0.0014634,0.0014634,0.0014777,0.0014777,0.0015238,0.0014556,0.0014556,0.0015024,0.0015024,0.0015024,0.0014627,0.0014627,0.0015086,0.0015086,0.0015086,0.0014955,0.0014955,0.0015178,0.0015178,0.0015178,0.0015178,0.0014704,0.0014634,0.0014634,0.0015005,0.0015005,0.0015005,0.0015005,0.0015005,0.0015005,0.0015227
9,-0.0027958,-0.0027958,-0.002461,-0.002461,-0.0024102,-0.0024413,-0.0024295,-0.0024494,-0.0024494,-0.0024866,-0.0024866,-0.0024866,-0.0024708,-0.0024523,-0.0024057,-0.0024057,-0.0024076,-0.0024402,-0.0024402,-0.0024402,-0.0024716,-0.0024716,-0.0024641,-0.0024641,-0.0024323,-0.0024712,-0.0024712,-0.0024366,-0.0024366,-0.0024366,-0.0024702,-0.0024702,-0.0024326,-0.0024326,-0.0024326,-0.0024485,-0.0024485,-0.0024305,-0.0024305,-0.0024305,-0.0024305,-0.0024687,-0.0024704,-0.0024704,-0.0024417,-0.0024417,-0.0024417,-0.0024417,-0.0024417,-0.0024417,-0.0024262
