,0,1,2,3,4,5,6,7,8,9,10,11,12
0,95.754,96.598,100.86,102.12,102.46,102.45,100.83,100.94,101.95,101.71,101.02,101.29,101.22
1,-139.0,-140.52,-143.1,-144.96,-145.22,-145.49,-143.97,-143.74,-144.52,-144.49,-143.93,-144.17,-144.06
2,-18.192,-17.629,-19.001,-18.426,-18.541,-18.297,-18.242,-18.551,-18.74,-18.548,-18.423,-18.459,-18.499
3,-0.52807,-0.50916,-0.60587,-0.55757,-0.56646,-0.5654,-0.54015,-0.56796,-0.59116,-0.57392,-0.56707,-0.56248,-0.56775
4,-0.002944,-0.0027309,-0.0033655,-0.0031706,-0.0031396,-0.0031949,-0.0030305,-0.0031682,-0.0033186,-0.0032244,-0.003166,-0.0031522,-0.0031945
5,8.3403,8.5319,7.9283,7.8403,7.7539,7.8483,7.8182,7.8118,7.82,7.8175,7.8145,7.8164,7.816
6,0.48283,0.45867,0.30995,0.31597,0.36581,0.39282,0.37683,0.37433,0.3686,0.36335,0.3664,0.36959,0.36956
7,0.059415,0.067358,0.047651,0.058725,0.059319,0.061121,0.063391,0.06351,0.060675,0.060126,0.061555,0.059779,0.06013
8,0.016775,0.028386,0.0077032,0.0012324,0.0022656,0.0029942,0.0006086,0.00079323,0.0017734,0.0018683,0.0012601,0.0022898,0.0021578
9,0.00041707,0.0038219,0.0011343,4.2071e-06,0.0001015,0.00010922,-7.5828e-05,-0.00010306,0.00014492,-4.8335e-05,-9.8626e-05,-6.4126e-05,-5.0393e-05
10,0.00020186,0.0025954,0.00040263,7.329e-05,0.00029404,0.00015984,0.0002026,0.00018949,0.0001991,0.00039682,0.00031402,0.00046751,0.00046043
11,0.00014574,0.00011588,0.00010145,1.6685e-05,2.1359e-05,3.4419e-05,2.4946e-05,5.3288e-05,3.3009e-05,3.6971e-05,1.462e-05,3.3776e-05,1.4594e-05
12,0.00034876,0.00023675,2.0073e-05,2.2163e-05,3.4477e-05,4.6313e-05,3.0319e-05,7.4491e-07,2.6592e-05,6.3583e-06,3.1627e-05,8.281e-06,2.7752e-05
13,3.2617e-05,7.8825e-05,3.5958e-05,2.8009e-05,-2.6113e-06,4.153e-06,-1.8491e-07,,-3.1903e-06,,-2.5282e-07,,-1.6259e-06
14,7.9393e-06,4.0091e-06,2.7114e-06,-4.011e-07,,,,,,,,,
