,0,1,2,3,4,5,6,7,8,9,10
0,193.14,194.6,192.04,194.4,194.92,194.92,192.85,194.1,194.1,193.9,193.76
1,-252.93,-254.07,-251.63,-253.14,-253.37,-253.37,-251.96,-252.93,-252.93,-252.79,-252.56
2,-32.13,-31.9,-31.781,-32.575,-32.965,-32.965,-32.338,-32.602,-32.602,-32.55,-32.629
3,-1.268,-1.3148,-1.3287,-1.3846,-1.4273,-1.4273,-1.3978,-1.4208,-1.4208,-1.409,-1.4188
4,-0.013426,-0.013542,-0.014141,-0.014517,-0.01479,-0.01479,-0.014584,-0.014825,-0.014825,-0.014722,-0.014792
5,12.437,11.936,11.88,11.807,11.773,11.773,11.779,11.775,11.775,11.77,11.777
6,0.42024,0.44492,0.40493,0.35733,0.52037,0.52037,0.49472,0.48984,0.48984,0.49861,0.49834
7,0.087473,0.09666,0.076693,0.089258,0.090018,0.090018,0.092526,0.092517,0.092517,0.091965,0.090855
8,-0.0022138,0.0027552,0.010867,-0.0017051,0.0067764,0.0067764,0.0038205,0.0037622,0.0037622,0.0040019,0.0050587
9,0.011082,0.0019019,0.0025282,0.0020851,0.00099568,0.00099568,0.00052237,0.00054374,0.00054374,0.00064003,0.00034869
10,-0.0011689,-0.00017966,-0.00056545,0.00017212,0.000734,0.000734,0.00070207,0.00077644,0.00077644,0.00080742,0.00088681
11,0.0009119,0.00023505,0.00047169,0.00052906,0.00010196,0.00010196,0.00020255,7.4959e-05,7.4959e-05,0.00019764,8.4267e-05
12,3.4187e-05,0.00012036,9.2235e-05,4.4553e-05,0.00016776,0.00016776,9.3546e-05,9.6125e-05,9.6125e-05,0.00011319,0.00011711
13,1.9285e-05,3.9035e-05,0.00029149,8.6413e-05,6.7244e-06,6.7244e-06,3.1829e-05,2.0701e-05,2.0701e-05,1.5505e-05,7.3425e-06
14,2.5014e-05,1.6147e-05,1.0293e-05,1.7202e-06,,,5.5678e-06,5.74e-06,5.74e-06,5.8931e-06,
15,4.652e-06,7.3785e-06,1.6262e-05,,,,,,,,
16,,,1.0558e-06,,,,,,,,
