,0,1,2,3
0,131.96,130.18,129.7,129.84
1,-180.78,-178.11,-177.74,-178.02
2,-22.75,-23.498,-23.333,-23.214
3,-0.78763,-0.82531,-0.8336,-0.83124
4,-0.0058093,-0.006223,-0.0062015,-0.0061839
5,9.0627,9.1969,9.1415,9.1353
6,0.2966,0.44863,0.4111,0.41788
7,0.069046,0.067,0.068405,0.07123
8,-0.0011501,0.0064993,0.0027198,0.0014479
9,0.0012898,6.3036e-05,8.699e-05,0.00013783
10,3.1795e-05,0.00054693,0.00067382,0.00048094
11,0.00027235,3.0986e-05,2.6426e-05,2.1441e-05
12,2.1968e-05,5.4055e-05,3.7817e-05,4.1871e-05
13,3.5453e-05,1.9121e-06,3.3661e-06,3.5507e-06
14,-1.0487e-06,,,
