,0,1,2,3,4,5,6,7,8,9,10
0,76.916,76.916,72.004,74.173,74.934,74.934,73.949,74.317,74.608,74.41,74.41
1,-113.99,-113.99,-109.77,-111.64,-112.37,-112.37,-111.54,-112.02,-112.23,-111.97,-111.97
2,-14.174,-14.174,-13.426,-13.692,-13.819,-13.819,-13.672,-13.555,-13.645,-13.688,-13.688
3,-0.36732,-0.36732,-0.31821,-0.35599,-0.34098,-0.34098,-0.33347,-0.32633,-0.33125,-0.33687,-0.33687
4,-0.0015955,-0.0015955,-0.0012638,-0.0014558,-0.0013873,-0.0013873,-0.0013699,-0.0013312,-0.0013471,-0.0013733,-0.0013733
5,6.4773,6.4773,6.5192,6.4049,6.5187,6.5187,6.5259,6.4979,6.5096,6.506,6.506
6,0.30352,0.30352,0.23201,0.34206,0.31459,0.31459,0.31117,0.31338,0.32053,0.31433,0.31433
7,0.05372,0.05372,0.053714,0.055792,0.052251,0.052251,0.049674,0.05166,0.050975,0.05103,0.05103
8,0.0016645,0.0016645,-0.00035112,0.0012482,0.00097775,0.00097775,0.0026919,0.0013769,0.0021982,0.0017968,0.0017968
9,-8.4872e-05,-8.4872e-05,-5.5137e-06,-0.00014582,-3.7033e-05,-3.7033e-05,-4.2551e-05,-7.043e-05,-8.6186e-05,-8.4986e-05,-8.4986e-05
10,9.5924e-05,9.5924e-05,5.1903e-05,0.00014826,0.00020317,0.00020317,0.00028396,0.00020797,0.00028048,0.00024658,0.00024658
11,2.629e-05,2.629e-05,4.8604e-05,6.4361e-05,1.864e-05,1.864e-05,1.7505e-05,2.3053e-05,9.9359e-06,1.9546e-05,1.9546e-05
12,2.2758e-05,2.2758e-05,1.1787e-05,4.721e-05,3.2186e-05,3.2186e-05,2.9788e-05,2.5217e-05,,2.7378e-05,2.7378e-05
13,4.2442e-06,4.2442e-06,2.6743e-06,6.7596e-06,-2.0703e-06,-2.0703e-06,-2.7314e-06,-1.2282e-06,,-2.1124e-06,-2.1124e-06
