,0,1,2,3
0,74.842,74.508,74.438,74.478
1,-112.06,-112.25,-111.96,-112.04
2,-14.081,-13.531,-13.732,-13.69
3,-0.35125,-0.32549,-0.33895,-0.33474
4,-0.0014505,-0.0013217,-0.0013777,-0.0013631
5,6.6117,6.5194,6.5092,6.5073
6,0.41239,0.31473,0.31355,0.31293
7,0.039108,0.043161,0.049301,0.051451
8,0.042822,0.0070186,0.0027754,0.0015111
9,0.0032897,2.4288e-05,-1.0936e-05,-7.6383e-05
10,0.0029095,0.00094365,0.00034206,0.00023719
11,0.00012421,9.8875e-06,2.7117e-05,2.2883e-05
12,0.00058096,,2.5645e-05,2.8202e-05
13,0.00022954,,-2.4178e-06,-2.2636e-06
14,2.2047e-06,,,
