,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-5.2946,-5.092,-5.1218,-4.6936,-5.0638,-4.8408,-4.6531,-4.0994,-4.4009,-4.1242,-3.6366,-3.5749,-3.919,-3.6038,-3.7892
1,-4.9485,-5.2092,-5.1671,-5.6082,-5.239,-5.4782,-5.6907,-6.2548,-5.9543,-6.2305,-6.6961,-6.7548,-6.4314,-6.724,-6.5544
2,-0.049232,-0.054795,-0.054048,-0.061627,-0.05756,-0.06172,-0.067735,-0.084663,-0.075727,-0.085087,-0.1018,-0.103,-0.09108,-0.10353,-0.095793
3,-3.3259e-06,-3.9527e-06,-3.4475e-06,-4.1384e-06,-4.0764e-06,-4.8848e-06,-5.8327e-06,-9.8087e-06,-7.9321e-06,-1.0234e-05,-1.5655e-05,-1.5913e-05,-1.1862e-05,-1.6131e-05,-1.3337e-05
4,8.5703e-10,5.5033e-10,5.9742e-11,1.4097e-10,2.8933e-11,5.6264e-10,-1.9787e-10,3.5561e-10,7.2393e-10,9.7117e-11,-8.3361e-10,2.9894e-10,-5.2393e-10,4.2036e-11,-8.6325e-10
5,1.2613,1.3569,1.3412,1.3473,1.36,1.388,1.4444,1.5441,1.4996,1.5473,1.6389,1.6456,1.5898,1.65,1.6143
6,0.039388,0.067085,0.053206,0.061209,0.058719,0.0527,0.048625,0.039782,0.042014,0.039224,0.031816,0.030856,0.035675,0.030763,0.033514
7,0.01053,0.0080714,0.010159,0.011836,0.0080772,0.010276,0.010537,0.0089859,0.0097136,0.0096161,0.0086743,0.008878,0.0091759,0.0087587,0.0090343
8,4.4492e-05,0.0037047,0.00017281,-0.00012837,0.0024887,0.00026244,0.00014993,0.00082686,0.00032864,0.00032973,0.00062771,0.00042587,0.00045393,0.00050831,0.00045488
9,3.908e-05,6.2695e-05,9.9007e-05,7.6533e-05,8.3986e-05,0.00010359,9.4628e-05,7.3919e-05,9.6732e-05,9.9286e-05,6.2337e-05,6.7761e-05,8.6075e-05,6.2565e-05,7.7044e-05
10,8.5545e-06,1.9818e-05,6.989e-06,8.3323e-07,1.33e-05,4.6826e-06,2.3581e-06,6.6777e-06,4.5582e-06,3.7502e-06,4.6159e-06,4.0834e-06,4.5504e-06,4.2054e-06,4.3748e-06
11,,2.3907e-07,,,-2.1363e-07,,,,,,,,,,
