,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-5.2916,-4.8329,-5.0861,-5.2545,-5.1114,-5.0482,-5.1192,-4.782,-4.9101,-4.7293,-4.8037,-4.8749,-4.8711,-4.5115,-4.6382
1,-4.7779,-5.4438,-5.1898,-4.9955,-5.1719,-5.2083,-5.2089,-5.5418,-5.4142,-5.5883,-5.524,-5.4584,-5.4454,-5.8317,-5.7015
2,-0.043608,-0.061049,-0.05583,-0.051583,-0.053146,-0.055771,-0.05786,-0.062438,-0.061934,-0.066627,-0.062327,-0.062842,-0.062021,-0.070554,-0.069846
3,-2.4437e-06,-4.032e-06,-3.2867e-06,-2.8003e-06,-3.4607e-06,-3.5615e-06,-4.5155e-06,-4.9447e-06,-5.0742e-06,-5.3911e-06,-4.6595e-06,-4.8896e-06,-4.8853e-06,-6.2891e-06,-6.2736e-06
4,-7.1614e-10,-1.6874e-10,-2.2533e-10,-5.8122e-11,-3.7858e-10,6.6291e-10,-9.8623e-10,2.2663e-10,7.4505e-10,2.0407e-10,1.181e-09,-5.1125e-10,-1.0655e-09,-1.4228e-10,-9.9362e-11
5,1.1087,1.4263,1.3201,1.2598,1.3148,1.2862,1.3942,1.396,1.3979,1.3911,1.4043,1.4149,1.3833,1.4507,1.4427
6,0.019658,0.060655,0.084325,0.071961,0.06139,0.066226,0.055032,0.055388,0.051996,0.056863,0.051847,0.050665,0.055369,0.048329,0.048274
7,0.0069817,0.00032828,0.0083922,0.012995,0.011956,0.012292,0.011541,0.0089663,0.010501,0.009409,0.010034,0.0099664,0.010049,0.010298,0.010292
8,-3.5521e-05,0.010629,0.01029,5.5431e-05,-3.3237e-05,-1.0809e-06,-0.00012813,0.0014613,9.2695e-05,0.0014063,0.00057081,0.00047363,0.00057334,0.0001982,0.00020643
9,4.7332e-05,0.00028001,-0.00040302,4.5412e-05,4.5591e-05,,8.0099e-05,8.5507e-05,9.1157e-05,7.5943e-05,0.00010361,0.00010762,9.7709e-05,0.00010396,0.00010702
10,2.7703e-06,0.00016953,0.00025649,2.0677e-06,2.055e-06,,9.6361e-07,1.3278e-05,3.1108e-06,4.5806e-06,6.2285e-06,4.8496e-06,8.9895e-06,3.7608e-06,2.7819e-06
11,,-2.4482e-06,7.3734e-06,,,,,2.1067e-07,,,,,,,
