,0,1,2,3
0,75.303,73.69,74.557,74.624
1,-112.67,-111.31,-112.14,-112.21
2,-13.908,-13.632,-13.678,-13.675
3,-0.34852,-0.33599,-0.32925,-0.33373
4,-0.001405,-0.0013969,-0.0013596,-0.0013824
5,6.5772,6.5051,6.5066,6.5055
6,0.387,0.32123,0.31226,0.31521
7,0.046985,0.048773,0.050907,0.05097
8,0.011531,0.0034926,0.0017344,0.0018284
9,0.00063897,-7.2105e-05,-7.3195e-05,-6.782e-05
10,0.0010572,0.00038893,0.0002027,0.0002192
11,0.00012714,9.2477e-05,2.7766e-05,1.9485e-05
12,0.00019755,1.6095e-05,2.6279e-05,2.5441e-05
13,8.2081e-06,-2.8739e-06,-2.255e-06,-2.6942e-06
