,0,1,2,3
0,77.94,74.325,74.119,74.001
1,-114.94,-111.63,-111.68,-111.6
2,-14.316,-13.936,-13.691,-13.653
3,-0.34196,-0.35422,-0.33314,-0.33481
4,-0.0014725,-0.0014715,-0.0013512,-0.0013797
5,6.6102,6.5184,6.5085,6.5063
6,0.41435,0.31566,0.31458,0.31397
7,0.043894,0.043764,0.049215,0.051532
8,0.036812,0.0064378,0.002723,0.0014146
9,0.0055479,0.0001059,-8.1769e-05,-5.7156e-05
10,0.0014846,0.00082219,0.0003322,0.00020036
11,0.00010513,6.3363e-05,1.5758e-05,1.7256e-05
12,0.00070314,1.476e-05,2.3278e-05,2.5376e-05
13,0.00012184,-3.1264e-06,-2.7677e-06,-2.5289e-06
14,6.3352e-06,,,
