,0,1,2,3
0,74.688,74.138,74.321,74.71
1,-112.33,-111.7,-111.84,-112.17
2,-13.579,-13.691,-13.73,-13.789
3,-0.32759,-0.3325,-0.33683,-0.33706
4,-0.0013408,-0.0013735,-0.0013829,-0.0013849
5,6.496,6.5026,6.506,6.5065
6,0.28834,0.31777,0.3153,0.31438
7,0.050477,0.047492,0.050153,0.050771
8,0.0003145,0.0041445,0.0023068,0.0018673
9,4.1015e-05,5.7867e-05,-7.2656e-05,-6.7772e-05
10,0.00021954,0.00040054,0.00025713,0.00022522
11,2.9676e-05,2.4593e-05,2.4057e-05,1.6386e-05
12,1.7457e-05,2.5467e-06,1.9996e-05,2.3751e-05
13,-1.9155e-06,,-2.4563e-06,-2.7643e-06
