,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,24.577,23.476,24.091,24.637,24.349,24.0,24.012,24.099,24.051,23.913,24.147,24.115,24.215,24.074,24.076,24.197,24.179,24.122
1,-28.325,-27.338,-27.928,-28.469,-28.196,-27.865,-27.879,-27.97,-27.921,-27.791,-28.007,-27.977,-28.076,-27.936,-27.944,-28.056,-28.043,-27.986
2,-0.76515,-0.68779,-0.73407,-0.74529,-0.73067,-0.71605,-0.71556,-0.71206,-0.71178,-0.70539,-0.72279,-0.7206,-0.72133,-0.72088,-0.71566,-0.72322,-0.71896,-0.71881
3,-0.00039718,-0.00027617,-0.00033866,-0.00034493,-0.00033789,-0.00032325,-0.00031602,-0.00031434,-0.00031625,-0.00030995,-0.00032322,-0.00032723,-0.00032783,-0.00032381,-0.0003168,-0.00033186,-0.00032041,-0.00032216
4,-1.229e-09,-4.0131e-10,-2.1234e-09,-1.5627e-09,-1.7001e-09,-1.5214e-09,-1.3283e-09,-1.2733e-09,-7.9808e-10,-1.1244e-09,-1.6205e-09,-1.5013e-09,-1.1582e-09,-1.3458e-09,-1.2958e-09,-1.244e-09,-1.0787e-09,-6.0641e-10
5,0.53569,0.50682,0.52457,0.52538,0.52205,0.5163,0.51724,0.51941,0.51691,0.51659,0.51849,0.51917,0.51887,0.5188,0.51908,0.51926,0.519,0.51903
6,0.30702,0.34176,0.32894,0.32253,0.32344,0.33171,0.3327,0.33006,0.33172,0.3327,0.33161,0.33086,0.33125,0.33157,0.33146,0.33137,0.33166,0.33174
7,0.012122,0.010599,0.011906,0.01283,0.011525,0.011424,0.011029,0.011598,0.011586,0.011266,0.011315,0.01155,0.011575,0.011619,0.011711,0.011771,0.011787,0.01172
8,0.0013511,0.0020902,0.0013574,0.0010281,0.0015838,0.0016461,0.0017995,0.0015454,0.0015646,0.0017295,0.0016759,0.0015879,0.0015881,0.0015742,0.0015386,0.0015007,0.0014966,0.0015258
9,-2.1161e-06,2.2828e-06,2.0699e-06,-2.4561e-06,-2.4905e-06,1.1139e-06,1.4664e-06,-9.077e-07,-1.2439e-06,-2.1158e-06,2.4249e-07,-1.417e-06,-2.0504e-06,-2.4387e-06,-2.6507e-06,-1.8673e-06,-1.9544e-06,-1.9271e-06
