,0,1,2,3,4
0,639.18,641.62,640.62,641.08,641.27
1,-585.88,-587.78,-586.87,-587.36,-587.33
2,-87.135,-87.641,-87.526,-87.51,-87.71
3,-2.8204,-2.8568,-2.8778,-2.8715,-2.888
4,-0.008454,-0.0086785,-0.0087385,-0.0087114,-0.0088
5,4.147,4.2444,4.2422,4.2484,4.2489
6,2.6395,2.5724,2.575,2.5683,2.5683
7,0.069707,0.078222,0.078893,0.078017,0.078645
8,0.018751,0.014876,0.014525,0.014851,0.0146
9,-7.6732e-05,-7.3496e-05,-8.8138e-05,-9.5415e-05,-8.8628e-05
10,-1.5401e-05,-2.2152e-05,-9.1171e-06,-2.3351e-06,-8.2951e-06
11,1.7853e-06,2.9168e-06,,,
