,0,1,2,3,4
0,642.62,639.78,640.21,641.11,641.45
1,-588.64,-586.74,-586.59,-587.14,-587.56
2,-87.234,-86.864,-87.39,-87.731,-87.659
3,-2.915,-2.8271,-2.8737,-2.8964,-2.8866
4,-0.008911,-0.008489,-0.0087589,-0.0088113,-0.0087636
5,3.8543,4.2956,4.2181,4.2516,4.2412
6,2.9629,2.5084,2.5854,2.5641,2.5773
7,0.06022,0.084345,0.076319,0.078458,0.079232
8,0.024177,0.012091,0.015779,0.014714,0.014359
9,-8.3912e-05,-7.5576e-05,-9.2207e-05,-8.3049e-05,-8.7161e-05
10,4.5457e-06,-3.0089e-05,-4.5501e-06,-1.3407e-05,-1.1156e-05
11,1.2248e-06,-6.9119e-07,,3.1839e-06,1.9829e-06
