,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,23.91,25.534,23.885,24.225,24.776,24.008,24.723,23.891,24.412,24.487,24.32,24.193,23.958,24.258,24.102,24.142,23.954,24.123,24.149
1,-27.783,-29.275,-27.741,-28.095,-28.596,-27.871,-28.534,-27.76,-28.251,-28.344,-28.172,-28.056,-27.829,-28.115,-27.97,-28.01,-27.829,-27.989,-28.008
2,-0.69649,-0.78137,-0.71714,-0.71087,-0.75293,-0.72036,-0.77069,-0.71244,-0.74398,-0.72462,-0.73087,-0.72122,-0.7112,-0.72591,-0.71483,-0.71424,-0.70796,-0.71732,-0.72383
3,-0.00029832,-0.00037312,-0.0003241,-0.00030484,-0.00037828,-0.00032151,-0.0003752,-0.00031595,-0.00034666,-0.00032235,-0.00033542,-0.00033166,-0.00031653,-0.00033532,-0.00032109,-0.0003186,-0.00031117,-0.00032288,-0.00033078
4,-6.3756e-10,-1.5939e-09,-1.0618e-09,-2.0748e-09,-1.2549e-09,-5.5365e-10,-1.2863e-09,-1.1219e-09,-1.4293e-09,-1.6641e-09,-1.1939e-09,-1.5386e-09,-1.1842e-09,-1.7437e-09,-8.9494e-10,-1.3285e-09,-1.2822e-09,-1.1828e-09,-1.3358e-09
5,0.53017,0.46977,0.53175,0.52191,0.51758,0.52506,0.51343,0.51798,0.51824,0.51543,0.51968,0.51878,0.5182,0.51954,0.51861,0.51925,0.51926,0.51828,0.51896
6,0.32663,0.38104,0.3145,0.33695,0.32595,0.32383,0.33824,0.32993,0.33083,0.33352,0.33004,0.33203,0.33173,0.33089,0.33214,0.33106,0.3316,0.33249,0.332
7,0.017346,0.0088913,0.011576,0.01406,0.011107,0.012434,0.010477,0.010917,0.011724,0.011255,0.011395,0.011574,0.011483,0.011601,0.011545,0.011718,0.011866,0.011714,0.011591
8,0.00016015,0.0029662,0.0015627,0.00054263,0.001728,0.0012094,0.0020575,0.0018069,0.0015271,0.0017265,0.0016201,0.0015478,0.0016048,0.0015594,0.0015886,0.001513,0.0014513,0.0015098,0.0015447
9,-1.4501e-06,1.4095e-05,-9.563e-08,-2.8339e-06,2.6777e-06,1.3108e-06,1.5636e-06,3.6264e-06,-3.5786e-06,-4.9562e-07,1.9139e-06,1.176e-06,5.0302e-07,-9.8477e-07,-5.8353e-07,-9.4619e-07,-5.3672e-07,5.2438e-07,9.9598e-07
10,,2.9154e-06,,,,,,,,,,,,,,,,,
