,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,24.167,24.475,24.28,24.523,24.03,24.199,23.922,24.163,24.268,24.184,24.079,24.094,24.045,24.24,24.081,24.241
1,-28.04,-28.334,-28.137,-28.359,-27.895,-28.055,-27.795,-28.026,-28.12,-28.043,-27.946,-27.957,-27.911,-28.1,-27.948,-28.101
2,-0.69924,-0.7234,-0.72889,-0.74789,-0.71674,-0.72704,-0.71037,-0.72034,-0.73019,-0.72405,-0.71633,-0.71989,-0.71698,-0.72272,-0.71586,-0.72301
3,-0.00028075,-0.0003317,-0.00032437,-0.00034332,-0.00031571,-0.00033453,-0.00031559,-0.00032692,-0.00033404,-0.00033343,-0.00031824,-0.00032605,-0.00032355,-0.00032826,-0.00032013,-0.00032667
4,-1.0864e-09,-1.0184e-09,-7.4601e-10,-1.3538e-09,-1.4654e-09,-1.3963e-09,-8.115e-10,-1.4636e-09,-1.5018e-09,-1.8183e-09,-1.3661e-09,-1.1421e-09,-6.0118e-10,-9.1381e-10,-9.4701e-10,-9.6588e-10
5,0.52402,0.50686,0.52004,0.51591,0.51749,0.51862,0.51866,0.51952,0.51797,0.51837,0.51866,0.51898,0.51903,0.51915,0.51947,0.51939
6,0.33016,0.3401,0.3359,0.33569,0.33148,0.33196,0.33246,0.33172,0.33256,0.33227,0.3322,0.33184,0.33159,0.33144,0.33116,0.33126
7,0.012626,0.010231,0.011442,0.010701,0.01097,0.011544,0.011672,0.011664,0.011647,0.011639,0.011532,0.011516,0.011522,0.011514,0.011579,0.011583
8,0.0012269,0.0021598,0.0015755,0.0019251,0.0018202,0.0015838,0.0015089,0.0015253,0.0015229,0.001531,0.0015539,0.0015621,0.0015644,0.0015733,0.0015445,0.0015462
9,1.4972e-06,5.5427e-06,7.822e-06,5.5653e-06,3.2549e-06,1.1611e-06,1.5154e-06,1.1463e-06,1.9026e-06,1.7792e-06,3.1853e-06,2.9103e-06,2.5645e-06,1.9386e-06,1.9289e-06,1.7205e-06
