,0,1,2,3,4,5,6
0,63.406,62.784,62.957,63.29,63.17,63.128,63.206
1,-100.89,-100.56,-100.73,-101.03,-100.9,-100.87,-100.95
2,-3.4498,-3.3055,-3.3322,-3.3443,-3.3577,-3.3434,-3.3496
3,-0.0051182,-0.0048697,-0.0048835,-0.0048979,-0.0049388,-0.0049156,-0.0049164
4,-1.0954e-06,-1.084e-06,-1.0964e-06,-1.0911e-06,-1.1007e-06,-1.0977e-06,-1.0971e-06
5,1.471,1.4793,1.4765,1.4795,1.4802,1.4787,1.4793
6,0.55124,0.5892,0.58463,0.58026,0.57961,0.5778,0.57738
7,0.0020399,0.001376,0.0027226,0.00074181,0.00061151,0.001031,0.0010615
8,0.0017385,0.0016835,0.00040024,0.0023032,0.0025389,0.0020879,0.0020313
9,3.6821e-06,-5.2959e-07,-3.9947e-06,-2.7159e-06,-1.2338e-06,-4.4894e-06,-1.8464e-06
