,0,1,2,3,4
0,73.224,73.979,73.627,73.807,73.743
1,-124.01,-124.7,-124.39,-124.55,-124.5
2,-3.9927,-4.0286,-4.0143,-4.0385,-4.022
3,-0.0077577,-0.0077304,-0.0076717,-0.007753,-0.0077324
4,-3.0666e-06,-2.95e-06,-2.9379e-06,-2.9476e-06,-2.9597e-06
5,1.9791,1.968,1.9716,1.9711,1.9683
6,0.79458,0.77203,0.77508,0.76859,0.77418
7,0.0034821,0.0025463,0.00023206,0.0015668,0.0010284
8,0.00051776,0.0011107,0.003458,0.00212,0.0026528
9,1.8823e-05,-4.8904e-06,-1.2508e-05,-4.551e-07,-6.3234e-06
10,1.8195e-06,,3.9876e-06,1.3391e-06,2.4528e-06
