,0,1,2,3,4,5,6
0,61.722,62.375,63.084,62.807,63.417,63.307,63.179
1,-99.489,-100.16,-100.87,-100.58,-101.16,-101.04,-100.92
2,-3.2408,-3.314,-3.2991,-3.3099,-3.3468,-3.3569,-3.3495
3,-0.0047219,-0.0049986,-0.0047979,-0.0048432,-0.004874,-0.0049204,-0.0049338
4,-1.0568e-06,-1.1147e-06,-1.0625e-06,-1.0833e-06,-1.0855e-06,-1.1016e-06,-1.1053e-06
5,1.5226,1.4726,1.482,1.4804,1.4791,1.4783,1.4783
6,0.62233,0.57342,0.58063,0.57791,0.57764,0.57827,0.57818
7,0.0031585,0.0037436,0.0018437,0.00017738,0.0010641,0.0012505,0.0014071
8,0.00041241,4.564e-05,0.0013212,0.0029896,0.0020311,0.0018331,0.0016489
9,-2.0666e-06,1.1273e-05,-4.551e-06,-8.7014e-06,-3.3412e-06,-1.9325e-06,-4.2041e-06
10,,1.9292e-06,,8.5538e-07,,,
