,0,1,2,3
0,74.59,73.687,74.099,74.347
1,-112.0,-111.38,-111.72,-111.93
2,-13.899,-13.574,-13.631,-13.677
3,-0.34382,-0.33012,-0.33437,-0.33291
4,-0.0014343,-0.0013409,-0.0013668,-0.0013474
5,6.6117,6.5194,6.5093,6.5072
6,0.41251,0.31473,0.31352,0.31297
7,0.038946,0.043114,0.049285,0.051447
8,0.041966,0.0070603,0.002776,0.0015163
9,0.0018091,-3.468e-05,-2.3186e-05,-9.7734e-05
10,0.0053156,0.00096329,0.00034484,0.00026758
11,9.2916e-05,3.356e-05,3.9876e-05,1.1306e-05
12,0.0006875,1.1648e-05,2.5551e-05,2.8002e-05
13,0.0001406,-1.75e-06,-2.3012e-06,-2.2116e-06
14,4.1968e-06,,,
