,0,1,2
0,99.38,101.12,101.34
1,-142.63,-143.88,-144.1
2,-17.995,-18.564,-18.574
3,-0.55599,-0.5747,-0.56942
4,-0.0032394,-0.0032227,-0.0031751
5,7.5803,7.804,7.8138
6,0.41517,0.37886,0.36868
7,0.072218,0.057611,0.060453
8,0.0011872,0.0046745,0.0018847
9,3.8978e-05,-2.9016e-05,-5.4047e-05
10,-0.00011996,0.00051452,0.00041468
11,6.917e-06,1.1066e-05,3.5706e-05
12,,2.545e-05,6.8921e-06
13,,-1.1038e-06,
