,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,67.818,67.818,67.862,67.862,66.222,66.222,65.661,65.355,65.071,67.232,67.571,66.926,66.926,65.847,66.428,66.428,66.198,66.144,66.144,66.144,66.587,66.304,66.579,66.417,66.383,66.621,66.621,66.247,66.247,66.516,66.175,66.175,66.298,66.364,66.5,66.379,66.379,66.167,66.353,66.353,66.353,66.295,66.295,66.295,66.426,66.426,66.426,66.426,66.368,66.368,66.362,66.477,66.477,66.477,66.477,66.465
1,-76.537,-76.537,-76.666,-76.666,-74.927,-74.927,-74.559,-74.292,-74.166,-76.126,-76.226,-75.696,-75.696,-74.707,-75.258,-75.258,-75.049,-75.022,-75.022,-75.022,-75.446,-75.142,-75.444,-75.259,-75.213,-75.445,-75.445,-75.095,-75.095,-75.349,-75.063,-75.063,-75.153,-75.222,-75.339,-75.221,-75.221,-75.043,-75.199,-75.199,-75.199,-75.155,-75.155,-75.155,-75.273,-75.273,-75.273,-75.273,-75.221,-75.221,-75.209,-75.321,-75.321,-75.321,-75.321,-75.307
2,-4.3857,-4.3857,-4.3267,-4.3267,-4.4255,-4.4255,-4.2349,-4.1975,-4.0383,-4.2392,-4.4764,-4.3614,-4.3614,-4.2724,-4.3029,-4.3029,-4.2824,-4.255,-4.255,-4.255,-4.2745,-4.2948,-4.2678,-4.2914,-4.3025,-4.3089,-4.3089,-4.2841,-4.2841,-4.3003,-4.2453,-4.2453,-4.2779,-4.2749,-4.2938,-4.2908,-4.2908,-4.2568,-4.2864,-4.2864,-4.2864,-4.2725,-4.2725,-4.2725,-4.2849,-4.2849,-4.2849,-4.2849,-4.2798,-4.2798,-4.2854,-4.2885,-4.2885,-4.2885,-4.2885,-4.2901
3,-0.028945,-0.028945,-0.030199,-0.030199,-0.030616,-0.030616,-0.027744,-0.026902,-0.027347,-0.027514,-0.029391,-0.028764,-0.028764,-0.028219,-0.028302,-0.028302,-0.028244,-0.02828,-0.02828,-0.02828,-0.028161,-0.028198,-0.02803,-0.02825,-0.028449,-0.028242,-0.028242,-0.02822,-0.02822,-0.02832,-0.027858,-0.027858,-0.028241,-0.028172,-0.028351,-0.02823,-0.02823,-0.028119,-0.028281,-0.028281,-0.028281,-0.02824,-0.02824,-0.02824,-0.028275,-0.028275,-0.028275,-0.028275,-0.028144,-0.028144,-0.028213,-0.028227,-0.028227,-0.028227,-0.028227,-0.028321
4,-0.00033051,-0.00033051,-0.00034724,-0.00034724,-0.00036136,-0.00036136,-0.00031627,-0.00029709,-0.00031661,-0.0003096,-0.00033167,-0.00032268,-0.00032268,-0.00032094,-0.00032268,-0.00032268,-0.00032119,-0.00032266,-0.00032266,-0.00032266,-0.00031991,-0.00031886,-0.00031658,-0.00031956,-0.00032296,-0.00031907,-0.00031907,-0.00031886,-0.00031886,-0.00032025,-0.00031517,-0.00031517,-0.00031944,-0.0003186,-0.00032148,-0.00031944,-0.00031944,-0.00031937,-0.0003202,-0.0003202,-0.0003202,-0.00032023,-0.00032023,-0.00032023,-0.00032027,-0.00032027,-0.00032027,-0.00032027,-0.00031804,-0.00031804,-0.00031884,-0.00031912,-0.00031912,-0.00031912,-0.00031912,-0.00032098
5,1.0193,1.0193,0.99322,0.99322,0.99348,0.99348,0.99355,0.99348,0.99348,0.99349,0.9935,0.99351,0.99351,0.9935,0.99351,0.99351,0.99351,0.9935,0.9935,0.9935,0.9935,0.99351,0.99352,0.9935,0.99351,0.99351,0.99351,0.9935,0.9935,0.99351,0.99351,0.99351,0.99351,0.99352,0.99351,0.99352,0.99352,0.99351,0.99351,0.99351,0.99351,0.99351,0.99351,0.99351,0.99352,0.99352,0.99352,0.99352,0.9935,0.9935,0.9935,0.99352,0.99352,0.99352,0.99352,0.99351
6,0.10295,0.10295,0.096001,0.096001,0.096163,0.096163,0.09609,0.096164,0.096179,0.096147,0.096141,0.096134,0.096134,0.096126,0.096125,0.096125,0.096116,0.096132,0.096132,0.096132,0.096137,0.096131,0.096139,0.096126,0.096127,0.096148,0.096148,0.096129,0.096129,0.096127,0.096121,0.096121,0.096139,0.096138,0.096116,0.096136,0.096136,0.096122,0.096129,0.096129,0.096129,0.096124,0.096124,0.096124,0.096132,0.096132,0.096132,0.096132,0.096126,0.096126,0.096135,0.096137,0.096137,0.096137,0.096137,0.096131
7,-0.010013,-0.010013,-0.0085379,-0.0085379,-0.0084688,-0.0084688,-0.0085104,-0.0085044,-0.0084536,-0.008485,-0.0084909,-0.008531,-0.008531,-0.0085265,-0.0085182,-0.0085182,-0.008535,-0.0085263,-0.0085263,-0.0085263,-0.0085228,-0.0085175,-0.0085135,-0.0085236,-0.00853,-0.0085,-0.0085,-0.0085225,-0.0085225,-0.008522,-0.0085288,-0.0085288,-0.0085143,-0.0085105,-0.0085336,-0.0085143,-0.0085143,-0.0085323,-0.0085217,-0.0085217,-0.0085217,-0.0085277,-0.0085277,-0.0085277,-0.0085155,-0.0085155,-0.0085155,-0.0085155,-0.0085275,-0.0085275,-0.0085166,-0.0085107,-0.0085107,-0.0085107,-0.0085107,-0.0085185
8,0.0017625,0.0017625,0.0012732,0.0012732,0.0012159,0.0012159,0.0012451,0.0012379,0.0011921,0.001226,0.0012301,0.0012638,0.0012638,0.0012688,0.0012624,0.0012624,0.0012767,0.0012616,0.0012616,0.0012616,0.0012599,0.0012536,0.0012469,0.0012645,0.0012665,0.0012341,0.0012341,0.0012605,0.0012605,0.00126,0.0012669,0.0012669,0.0012489,0.0012454,0.0012712,0.0012484,0.0012484,0.0012708,0.0012572,0.0012572,0.0012572,0.0012658,0.0012658,0.0012658,0.0012498,0.0012498,0.0012498,0.0012498,0.0012649,0.0012649,0.0012546,0.0012448,0.0012448,0.0012448,0.0012448,0.0012534
9,-0.0010022,-0.0010022,-0.0011022,-0.0011022,-0.0011219,-0.0011219,-0.0011019,-0.0011067,-0.0011216,-0.0011109,-0.0011082,-0.0011092,-0.0011092,-0.0011004,-0.0011059,-0.0011059,-0.001097,-0.001099,-0.001099,-0.001099,-0.0011007,-0.0011046,-0.001116,-0.0011002,-0.0010988,-0.0011189,-0.0011189,-0.0010987,-0.0010987,-0.0011036,-0.0010967,-0.0010967,-0.0011109,-0.001116,-0.0010956,-0.0011152,-0.0011152,-0.0010964,-0.0011054,-0.0011054,-0.0011054,-0.0010969,-0.0010969,-0.0010969,-0.0011145,-0.0011145,-0.0011145,-0.0011145,-0.0010972,-0.0010972,-0.0011052,-0.0011152,-0.0011152,-0.0011152,-0.0011152,-0.0011087
