,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,602.57,604.03,603.4,602.89,603.84,603.47,600.97,602.88,603.45,603.38,602.35,603.26,603.9,602.93,604.05,604.08,603.48,603.18,603.2,604.43,604.09,603.21,602.94,603.51,603.19
1,-588.6,-589.72,-589.26,-589.09,-589.87,-589.11,-587.3,-588.57,-589.56,-589.25,-588.34,-589.28,-589.74,-589.04,-590.06,-590.13,-589.65,-589.34,-589.09,-590.55,-590.13,-589.18,-589.0,-589.62,-589.18
2,-76.66,-76.892,-76.752,-76.482,-76.656,-76.913,-76.422,-76.893,-76.577,-76.754,-76.688,-76.643,-76.777,-76.59,-76.658,-76.613,-76.538,-76.53,-76.742,-76.57,-76.639,-76.676,-76.624,-76.581,-76.659
3,-12.794,-12.891,-12.863,-12.806,-12.807,-12.922,-12.743,-12.893,-12.806,-12.853,-12.807,-12.822,-12.862,-12.787,-12.817,-12.818,-12.778,-12.795,-12.849,-12.796,-12.814,-12.835,-12.8,-12.794,-12.829
4,-1.5037,-1.5146,-1.5113,-1.5054,-1.5052,-1.5137,-1.4954,-1.5125,-1.502,-1.5084,-1.5022,-1.5033,-1.5084,-1.4995,-1.5048,-1.5053,-1.5023,-1.5029,-1.5096,-1.5032,-1.5013,-1.5077,-1.5009,-1.504,-1.5064
5,5.2143,5.2152,5.2146,5.2156,5.2158,5.2157,5.2164,5.2168,5.2177,5.2161,5.2162,5.2165,5.2168,5.2162,5.2143,5.2158,5.2159,5.2159,5.2151,5.2161,5.2157,5.2154,5.2167,5.2155,5.2157
6,0.96391,0.9639,0.96459,0.96333,0.96383,0.9639,0.96412,0.96307,0.96268,0.96372,0.96403,0.96349,0.96328,0.96441,0.96511,0.96395,0.96394,0.96438,0.96436,0.96447,0.9644,0.96415,0.9636,0.96391,0.96373
7,0.37096,0.37018,0.37037,0.37077,0.37096,0.36998,0.3703,0.37005,0.37013,0.3701,0.36976,0.37048,0.37012,0.36988,0.37019,0.37023,0.37044,0.37004,0.3702,0.36982,0.37025,0.37021,0.37006,0.37023,0.37007
8,0.042175,0.041908,0.041951,0.042387,0.041676,0.04208,0.041579,0.041879,0.041716,0.041998,0.041818,0.041569,0.041675,0.041833,0.042171,0.04202,0.041739,0.041872,0.041969,0.041606,0.042076,0.041819,0.041888,0.042188,0.042243
9,0.0050236,0.0052668,0.0051348,0.0049377,0.0050977,0.0049816,0.0052709,0.0051822,0.0050326,0.0050084,0.0051903,0.0052104,0.0051175,0.0050494,0.0050746,0.0051233,0.0050748,0.0051202,0.0049977,0.0050735,0.005098,0.0051046,0.0051669,0.0051129,0.0050554
10,-0.0044835,-0.0045335,-0.0045171,-0.0044502,-0.0044489,-0.0044777,-0.0044947,-0.0044744,-0.004435,-0.0044283,-0.0045332,-0.0044923,-0.0044368,-0.004438,-0.0044837,-0.0044822,-0.0044535,-0.0044693,-0.004424,-0.0044334,-0.0044556,-0.0044489,-0.0044867,-0.0044705,-0.0044427
11,0.0043867,0.0043817,0.0043531,0.0043514,0.0043745,0.0043564,0.0043524,0.0043749,0.0043697,0.0043441,0.0043732,0.0043771,0.0043479,0.0043298,0.0043553,0.0043592,0.0043552,0.0043431,0.0043476,0.0043351,0.0043599,0.0043545,0.0043597,0.0043624,0.0043525
12,-7.9683e-05,-7.4796e-05,-6.6117e-05,-8.9073e-05,-6.4562e-05,-6.6692e-05,-7.0437e-05,-6.8798e-05,-7.2737e-05,-7.016e-05,-7.0411e-05,-6.8337e-05,-6.7196e-05,-6.7046e-05,-6.9271e-05,-7.2598e-05,-7.2738e-05,-6.8696e-05,-7.2467e-05,-7.078e-05,-7.3698e-05,-6.953e-05,-7.0207e-05,-6.8489e-05,-7.7435e-05
13,0.00013789,0.00014204,0.00014405,0.0001391,0.00014007,0.00014649,0.00013572,0.00013774,0.00014066,0.00014545,0.000138,0.00014016,0.00014305,0.00014223,0.00014394,0.00014347,0.00014268,0.00014161,0.00014115,0.00013867,0.00013991,0.00014136,0.00014163,0.0001398,0.0001399
14,-0.00020769,-0.00020956,-0.00021022,-0.00020515,-0.00020903,-0.00020873,-0.00021043,-0.00020961,-0.00020879,-0.00020824,-0.00020994,-0.00021057,-0.00020964,-0.00020884,-0.00020861,-0.00020912,-0.00020801,-0.00020862,-0.00020792,-0.00020942,-0.0002081,-0.00020897,-0.00020939,-0.0002089,-0.00020746
15,-0.00021433,-0.00021338,-0.00021397,-0.00021441,-0.00021541,-0.00021337,-0.00021415,-0.00021477,-0.00021449,-0.00021386,-0.00021462,-0.00021439,-0.0002147,-0.00021396,-0.00021468,-0.00021433,-0.00021422,-0.00021428,-0.00021404,-0.00021397,-0.00021483,-0.00021427,-0.00021452,-0.00021492,-0.00021383
16,-6.6562e-05,-6.712e-05,-6.7059e-05,-6.745e-05,-6.6766e-05,-6.7371e-05,-6.6484e-05,-6.7424e-05,-6.6808e-05,-6.706e-05,-6.6241e-05,-6.6786e-05,-6.6531e-05,-6.731e-05,-6.6766e-05,-6.6886e-05,-6.7028e-05,-6.6899e-05,-6.696e-05,-6.6615e-05,-6.6643e-05,-6.6706e-05,-6.687e-05,-6.6601e-05,-6.7233e-05
17,-4.5259e-05,-4.5353e-05,-4.5306e-05,-4.5517e-05,-4.4938e-05,-4.5511e-05,-4.5257e-05,-4.5019e-05,-4.5169e-05,-4.5511e-05,-4.5124e-05,-4.5148e-05,-4.5143e-05,-4.5233e-05,-4.5286e-05,-4.5392e-05,-4.5338e-05,-4.5298e-05,-4.5293e-05,-4.5378e-05,-4.5212e-05,-4.5272e-05,-4.5126e-05,-4.5251e-05,-4.5474e-05
18,-1.9621e-05,-1.9524e-05,-1.9397e-05,-1.9519e-05,-1.9293e-05,-1.9373e-05,-1.9323e-05,-1.9285e-05,-1.9433e-05,-1.9345e-05,-1.939e-05,-1.9281e-05,-1.9254e-05,-1.9401e-05,-1.9337e-05,-1.9345e-05,-1.9409e-05,-1.9364e-05,-1.9445e-05,-1.9354e-05,-1.9444e-05,-1.9393e-05,-1.9311e-05,-1.9373e-05,-1.9432e-05
19,-4.9138e-06,-4.9201e-06,-4.9202e-06,-4.9375e-06,-4.9387e-06,-4.9269e-06,-4.9124e-06,-4.9332e-06,-4.919e-06,-4.9437e-06,-4.8992e-06,-4.909e-06,-4.925e-06,-4.9315e-06,-4.9329e-06,-4.9309e-06,-4.9308e-06,-4.9279e-06,-4.9274e-06,-4.9222e-06,-4.932e-06,-4.9191e-06,-4.9275e-06,-4.919e-06,-4.9307e-06
