,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,995.29,993.84,994.24,995.15,995.65,993.04,996.89,995.43,995.43,995.43,996.15,995.6,995.63,995.81,996.71,992.72,994.8,993.65,994.68,996.48,994.67,995.04,995.29,993.96,995.48,994.67,994.67,994.84
1,-964.46,-963.65,-963.72,-964.65,-964.87,-962.65,-966.69,-965.08,-965.08,-965.08,-966.28,-964.89,-965.15,-965.39,-966.09,-962.74,-964.18,-963.36,-964.64,-965.65,-964.11,-964.56,-964.69,-963.67,-964.63,-964.29,-964.29,-964.2
2,-114.27,-113.81,-113.97,-114.01,-114.26,-113.97,-113.86,-113.88,-113.88,-113.88,-113.58,-114.18,-113.97,-114.01,-114.13,-113.62,-114.15,-113.86,-113.65,-114.27,-114.07,-114.06,-114.13,-113.9,-114.29,-113.93,-113.93,-114.16
3,-20.142,-19.953,-20.125,-20.05,-20.102,-20.027,-19.926,-20.022,-20.022,-20.022,-19.884,-20.101,-20.1,-20.001,-20.073,-19.951,-20.053,-20.011,-19.971,-20.126,-20.076,-20.004,-20.059,-19.974,-20.125,-20.029,-20.029,-20.057
4,-2.4373,-2.4355,-2.4247,-2.4473,-2.4312,-2.4169,-2.4246,-2.4463,-2.4463,-2.4463,-2.419,-2.4286,-2.4261,-2.4205,-2.426,-2.4272,-2.4248,-2.4281,-2.4238,-2.4424,-2.4264,-2.4224,-2.4276,-2.4203,-2.4382,-2.4257,-2.4257,-2.4362
5,2.5588,2.557,2.5542,2.5523,2.5587,2.5654,2.5567,2.5547,2.5547,2.5547,2.554,2.5576,2.5605,2.5614,2.5628,2.5598,2.5609,2.5576,2.5564,2.5541,2.5599,2.5582,2.5614,2.5596,2.5575,2.5579,2.5579,2.5576
6,0.59831,0.59762,0.599,0.59996,0.60249,0.60269,0.59681,0.59851,0.59851,0.59851,0.59893,0.59395,0.59761,0.60064,0.59645,0.59895,0.60272,0.59526,0.59916,0.5979,0.5969,0.60004,0.59961,0.59885,0.59588,0.59686,0.59686,0.59892
7,-0.132,-0.13656,-0.13965,-0.13973,-0.13879,-0.13837,-0.13833,-0.13881,-0.13881,-0.13881,-0.13731,-0.14096,-0.13775,-0.13824,-0.13914,-0.13708,-0.14066,-0.13782,-0.13935,-0.13932,-0.13709,-0.13826,-0.1368,-0.13881,-0.14008,-0.13805,-0.13805,-0.13843
8,-0.039138,-0.044204,-0.0451,-0.050181,-0.04117,-0.043396,-0.040776,-0.045267,-0.045267,-0.045267,-0.04158,-0.045758,-0.057451,-0.053204,-0.048385,-0.063046,-0.047827,-0.052355,-0.059382,-0.046087,-0.049617,-0.049961,-0.063529,-0.04838,-0.046902,-0.060758,-0.060758,-0.054436
9,-0.025739,-0.023468,-0.02157,-0.017091,-0.023499,-0.023669,-0.024759,-0.02093,-0.02093,-0.02093,-0.023404,-0.020408,-0.0093717,-0.013932,-0.017893,-0.0049923,-0.018478,-0.013392,-0.0081716,-0.020446,-0.016435,-0.016184,-0.0043623,-0.016752,-0.019557,-0.0060158,-0.0060158,-0.01282
10,-0.01381,-0.012915,-0.014003,-0.013148,-0.013493,-0.013991,-0.01376,-0.014019,-0.014019,-0.014019,-0.015006,-0.014168,-0.014269,-0.015947,-0.015135,-0.014774,-0.015061,-0.014799,-0.015145,-0.01438,-0.015021,-0.01463,-0.015022,-0.01407,-0.014404,-0.014923,-0.014923,-0.014795
11,-0.0096317,-0.010777,-0.010059,-0.0093392,-0.0098129,-0.0097741,-0.009757,-0.0099972,-0.0099972,-0.0099972,-0.010478,-0.00987,-0.0097109,-0.01092,-0.010289,-0.010294,-0.010318,-0.010049,-0.010211,-0.0099651,-0.010138,-0.010011,-0.010365,-0.0095023,-0.0097523,-0.0098546,-0.0098546,-0.010147
12,-0.0068061,-0.007872,-0.0072141,-0.006562,-0.007046,-0.0069192,-0.0068698,-0.0071853,-0.0071853,-0.0071853,-0.0074623,-0.0071605,-0.0071416,-0.0076846,-0.0073074,-0.0072136,-0.0072749,-0.0070593,-0.0073745,-0.0072256,-0.007117,-0.0072314,-0.0076316,-0.0067571,-0.0069156,-0.006994,-0.006994,-0.0073508
13,-0.005305,-0.0060684,-0.0054292,-0.0049638,-0.0053136,-0.0052113,-0.0051126,-0.0053868,-0.0053868,-0.0053868,-0.0056603,-0.005432,-0.0054334,-0.0056009,-0.0054513,-0.0052666,-0.0053614,-0.0052331,-0.0054945,-0.0053977,-0.00531,-0.0053808,-0.0057476,-0.0050124,-0.0051018,-0.0052682,-0.0052682,-0.0054412
14,-0.0042148,-0.0047369,-0.0041128,-0.0038644,-0.0040421,-0.0039894,-0.003998,-0.0040711,-0.0040711,-0.0040711,-0.0044857,-0.0042814,-0.0042576,-0.0042315,-0.0042834,-0.0039661,-0.0041147,-0.0039925,-0.0042304,-0.0041544,-0.0041526,-0.0041554,-0.0044468,-0.0038845,-0.0039657,-0.0040968,-0.0040968,-0.0041824
15,-0.0033564,-0.0037789,-0.0031908,-0.00309,-0.0031685,-0.0031624,-0.0032396,-0.0031553,-0.0031553,-0.0031553,-0.0035887,-0.0034325,-0.0033602,-0.003223,-0.0034003,-0.0030688,-0.003327,-0.0031373,-0.003263,-0.0032419,-0.0032579,-0.0032525,-0.0034538,-0.0030761,-0.0031492,-0.003286,-0.003286,-0.003229
16,-0.0027297,-0.0030682,-0.0025093,-0.0024802,-0.0025226,-0.002539,-0.0026772,-0.0024519,-0.0024519,-0.0024519,-0.0027981,-0.0027588,-0.0026659,-0.0025029,-0.0026929,-0.0023499,-0.0026046,-0.002479,-0.002535,-0.0025386,-0.0025595,-0.0025488,-0.0027172,-0.0024093,-0.0024632,-0.0026256,-0.0026256,-0.0025173
17,-0.0022595,-0.0024457,-0.0019636,-0.0019853,-0.0020042,-0.0019967,-0.0022551,-0.0019113,-0.0019113,-0.0019113,-0.0021923,-0.0022139,-0.0021512,-0.0019467,-0.0021801,-0.0018823,-0.0020627,-0.0020064,-0.0020301,-0.0019844,-0.0020241,-0.0020344,-0.0021803,-0.0019288,-0.0019612,-0.0021181,-0.0021181,-0.0019976
18,-0.0019211,-0.001954,-0.0015705,-0.001621,-0.0016374,-0.0016152,-0.0019079,-0.0015325,-0.0015325,-0.0015325,-0.0017342,-0.0018091,-0.001746,-0.0015797,-0.0017602,-0.0015039,-0.0016345,-0.0016415,-0.0016268,-0.001609,-0.0016517,-0.0016522,-0.001741,-0.0015862,-0.0015972,-0.0017102,-0.0017102,-0.0016151
19,-0.0016536,-0.0015659,-0.0013143,-0.0013499,-0.0013557,-0.0013375,-0.001614,-0.0012542,-0.0012542,-0.0012542,-0.001367,-0.0014874,-0.0014376,-0.0012993,-0.0014352,-0.0012314,-0.0013204,-0.0013568,-0.0013428,-0.0013342,-0.0013489,-0.0013699,-0.0014284,-0.001314,-0.0013124,-0.0013957,-0.0013957,-0.0013254
