,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,406.64,406.02,406.02,405.5,406.99,406.99,405.1,402.75,405.27,404.02,404.87,404.87,404.88,404.1,403.89,403.89,404.46,404.01,404.91,404.41,405.08,404.82,403.19,404.47,404.41,404.12,403.54,404.53,403.85,403.87,404.5,404.64,404.0,403.98,403.76,404.34,404.48,404.42,404.16,404.23,404.4,404.11,404.28,403.9,404.08,404.39,404.39
1,-413.45,-417.19,-417.19,-415.09,-416.95,-416.95,-416.23,-412.64,-415.54,-414.58,-415.03,-415.03,-415.28,-414.74,-414.27,-414.27,-415.07,-414.63,-415.37,-414.86,-415.36,-415.22,-413.65,-414.88,-414.87,-414.52,-414.1,-414.87,-414.32,-414.26,-414.9,-415.12,-414.46,-414.45,-414.27,-414.8,-414.85,-414.89,-414.59,-414.72,-414.87,-414.52,-414.7,-414.42,-414.58,-414.82,-414.82
2,-43.088,-40.197,-40.197,-41.646,-41.261,-41.261,-39.686,-40.82,-40.533,-40.588,-40.65,-40.65,-40.683,-40.35,-40.72,-40.72,-40.295,-40.47,-40.571,-40.619,-40.65,-40.567,-40.576,-40.581,-40.529,-40.576,-40.468,-40.678,-40.56,-40.568,-40.563,-40.476,-40.547,-40.46,-40.46,-40.49,-40.61,-40.493,-40.578,-40.539,-40.484,-40.573,-40.551,-40.457,-40.466,-40.517,-40.517
3,-2.2018,-1.9032,-1.9032,-1.9667,-2.0081,-2.0081,-2.4003,-2.5128,-2.4522,-2.1274,-2.4353,-2.4353,-2.1838,-2.268,-2.1718,-2.1718,-2.3507,-2.1733,-2.2257,-2.1969,-2.3195,-2.2899,-2.2234,-2.2703,-2.2716,-2.279,-2.2339,-2.2474,-2.2296,-2.3002,-2.2894,-2.2979,-2.2514,-2.3206,-2.2841,-2.2966,-2.2746,-2.2874,-2.2526,-2.2412,-2.3048,-2.2739,-2.2943,-2.2848,-2.2936,-2.3102,-2.3102
4,-0.080699,-0.076889,-0.076889,-0.075333,-0.077314,-0.077314,-0.089119,-0.1042,-0.099553,-0.074619,-0.097043,-0.097043,-0.076383,-0.085199,-0.077538,-0.077538,-0.090528,-0.081683,-0.083989,-0.07972,-0.089057,-0.086036,-0.081779,-0.086463,-0.085685,-0.085677,-0.082526,-0.083061,-0.083545,-0.088922,-0.087158,-0.086701,-0.084683,-0.089548,-0.086171,-0.088838,-0.085764,-0.086894,-0.08344,-0.082363,-0.088067,-0.086104,-0.086379,-0.087086,-0.086348,-0.087928,-0.087928
5,1.495,1.3696,1.3696,1.3867,1.4108,1.4108,1.4127,1.4181,1.4098,1.4131,1.4106,1.4106,1.4072,1.4114,1.4104,1.4104,1.412,1.4111,1.4095,1.4097,1.4097,1.4098,1.41,1.4099,1.4099,1.41,1.41,1.4099,1.4098,1.4101,1.41,1.41,1.4099,1.41,1.41,1.41,1.41,1.41,1.4098,1.4098,1.41,1.4099,1.41,1.4099,1.41,1.41,1.41
6,0.43868,0.35729,0.35729,0.37251,0.37869,0.37869,0.37168,0.37763,0.38102,0.38244,0.38027,0.38027,0.38062,0.38056,0.37955,0.37955,0.3793,0.38038,0.38015,0.38011,0.37973,0.38047,0.38066,0.38005,0.37986,0.37975,0.38007,0.38015,0.38048,0.37947,0.37986,0.37996,0.38009,0.3798,0.37997,0.37986,0.38007,0.37979,0.38011,0.38033,0.37982,0.38012,0.37997,0.38009,0.37993,0.3799,0.3799
7,-0.027957,-0.025894,-0.025894,-0.022197,-0.023904,-0.023904,-0.026287,-0.025928,-0.024529,-0.024583,-0.024899,-0.024899,-0.02481,-0.024661,-0.023925,-0.023925,-0.024733,-0.02501,-0.024885,-0.02478,-0.024879,-0.024803,-0.024929,-0.024845,-0.024651,-0.024687,-0.024837,-0.024839,-0.024943,-0.024744,-0.024889,-0.02487,-0.024848,-0.024868,-0.02499,-0.02493,-0.024907,-0.024827,-0.02479,-0.024876,-0.024804,-0.024888,-0.024962,-0.024932,-0.024898,-0.024945,-0.024945
8,-0.00012945,-0.00032528,-0.00032528,0.0029482,0.0031842,0.0031842,0.0040527,0.0035957,0.0024932,0.0031081,0.0027925,0.0027925,0.0030605,0.0030573,0.0022954,0.0022954,0.0029071,0.0032603,0.0029923,0.0028926,0.0029437,0.0030439,0.0032421,0.0029241,0.0027314,0.0026194,0.0028881,0.0030608,0.0032407,0.0026755,0.0030155,0.0030042,0.0029999,0.002899,0.0030646,0.0029185,0.0030305,0.0028237,0.0030673,0.0031707,0.0028765,0.0030622,0.0030609,0.0030855,0.0030206,0.0029617,0.0029617
9,-0.00015303,-1.3155e-05,-1.3155e-05,0.00036998,-1.6851e-05,-1.6851e-05,0.00037888,0.00018581,0.0008267,0.0004264,0.0015816,0.0015816,0.00041747,7.1315e-07,0.0010224,0.0010224,0.0011101,-0.00018583,0.00056306,-0.00023287,0.00030228,0.00020637,0.00052091,0.00054835,0.00072785,0.00089842,0.00031899,0.00033141,0.00022696,0.00063558,0.00035195,0.00020466,0.00020872,0.00066687,0.00052552,0.00059865,8.5846e-05,0.00052274,0.00042895,0.00025049,0.00047469,0.00012984,-2.9683e-07,0.00030997,0.00031854,0.00020699,0.00020699
10,0.0032766,-0.00021307,-0.00021307,0.0005235,0.00070687,0.00070687,0.00038843,0.0015505,0.00025973,9.8469e-05,0.00029773,0.00029773,0.00012087,0.00091041,0.00055355,0.00055355,0.00037046,0.00086583,0.00037937,0.0010599,0.00072167,0.0005184,2.5789e-05,0.00048605,0.00036207,0.00032808,0.00062671,0.00048996,0.00034873,0.0007442,0.00061352,0.00070083,0.00067299,0.00038687,0.00034146,0.00046529,0.00074092,0.00061821,0.00037784,0.00037374,0.00063011,0.00068314,0.00086557,0.00051145,0.00064366,0.00078847,0.00078847
