,0
0,-5.2916
1,-4.7779
2,-0.043608
3,-2.4437e-06
4,-7.1614e-10
5,1.1087
6,0.019658
7,0.0069817
8,-3.5521e-05
9,4.7332e-05
10,2.7703e-06
