,0,1,2,3,4
0,197.2,196.12,196.8,197.13,196.86
1,-197.53,-196.12,-196.94,-197.27,-197.11
2,-7.7035,-8.1152,-7.9761,-7.982,-7.8695
3,-0.085431,-0.084015,-0.084703,-0.083688,-0.082243
4,-0.00076273,-0.00075402,-0.00077427,-0.00076486,-0.00075459
5,-0.0071549,-0.0069957,-0.0068481,-0.0069163,-0.006881
6,-0.0054301,-0.0053135,-0.0051938,-0.0052466,-0.0052194
7,3.0181e-05,2.8501e-05,2.8751e-05,2.8564e-05,2.8599e-05
8,-1.3437e-05,-1.3258e-05,-1.3001e-05,-1.3193e-05,-1.3056e-05
9,2.9549e-06,3.3182e-06,3.2775e-06,3.3407e-06,3.2971e-06
