,0,1,2,3,4,5,6,7,8,9
0,44.396,43.779,44.098,44.211,44.516,44.134,44.173,44.104,44.211,44.141
1,-69.783,-69.204,-69.507,-69.636,-69.92,-69.563,-69.597,-69.526,-69.631,-69.562
2,-1.9985,-1.9751,-1.9813,-1.9699,-1.9889,-1.9657,-1.9689,-1.9712,-1.9739,-1.9723
3,-0.0015584,-0.0015097,-0.0015469,-0.0015335,-0.0015726,-0.0015487,-0.0015483,-0.0015412,-0.0015574,-0.001553
4,-2.1857e-07,-2.0724e-07,-2.0867e-07,-2.1293e-07,-2.1654e-07,-2.1291e-07,-2.1321e-07,-2.1189e-07,-2.1308e-07,-2.1254e-07
5,0.95996,0.97958,0.98217,0.98379,0.98477,0.98292,0.98368,0.98338,0.98308,0.98336
6,0.3602,0.38362,0.39418,0.38408,0.38664,0.38822,0.38571,0.38688,0.38698,0.3865
7,0.0034013,0.0033082,0.0022921,-0.0011136,0.00028917,0.0017764,0.0018967,0.0013297,0.0015919,0.0016003
8,-3.3007e-05,8.9546e-06,0.00058124,0.0040434,0.0026364,0.0010907,0.00093982,0.0015396,0.001241,0.0012457
9,1.9551e-06,,-3.1307e-06,-3.5158e-09,-3.3526e-06,6.3073e-07,1.0027e-06,-7.2769e-07,4.4079e-07,9.2138e-07
