	element	cell size	cell type	kpd	err us	err vasp	diff in errors	kp file	grid type
25	Ti	2	hexagonal	79.98091962692672	0.0006641429999998394	0.0006591430000000287	-4.999999999810711e-06	14	hcp
26	Ti	2	hexagonal	37.705290681265453	0.0001571430000009144	0.0001531430000003553	-4.000000000559112e-06	16	hcp
27	Ti	2	hexagonal	164.53217751824926	0.00025535700000034467	0.0002598569999996414	4.499999999296733e-06	18	hcp
28	Ti	2	hexagonal	65.984258692214539	4.764300000026367e-05	4.364299999970456e-05	-4.000000000559112e-06	20	hcp
29	Ti	2	hexagonal	289.07389522303515	5.264300000007438e-05	4.8643000001291625e-05	-3.999999998782755e-06	22	hcp
30	Ti	3	base centered monoclinic	2.5708152737226451	0.03532014299999986	0.03532180966666765	1.6666666677878084e-06	3	hcp
31	Ti	3	base centered monoclinic	17.995706916058513	0.013489523666665448	0.013489523666665448	0.0	6	hcp
32	Ti	3	base centered monoclinic	38.562229105839677	0.0009985236666665287	0.0009978569999979925	-6.666666685362088e-07	9	hcp
33	Ti	3	base centered monoclinic	401.04718270073261	0.0005828569999994926	0.000580856999999213	-2.000000000279556e-06	12	hcp
34	Ti	3	base centered monoclinic	154.24891642335871	0.0005008570000004653	0.0005008570000004653	0.0	15	hcp
35	Ti	3	base centered monoclinic	1318.8282354197167	0.0002365236666665993	0.0002365236666665993	0.0	18	hcp
36	Ti	3	base centered monoclinic	2078.5041488047586	0.00011214300000084165	0.0001124763333333334	3.3333333249174757e-07	21	hcp
37	Ti	4	body centered orthorhombic	3.4277536982968591	0.026103357000000216	0.026103357000000216	0.0	4	hcp
38	Ti	4	body centered orthorhombic	20.566522189781157	0.005592642999999953	0.005592393000000584	-2.499999993688107e-07	8	hcp
39	Ti	4	body centered orthorhombic	267.36478846715499	0.0005828569999994926	0.0005831069999988614	2.499999993688107e-07	12	hcp
40	Ti	4	body centered orthorhombic	621.5660039578305	8.43569999986471e-05	8.460699999979227e-05	2.500000011451675e-07	16	hcp
41	Ti	4	body centered orthorhombic	182.81353057583249	6.414300000123774e-05	6.389300000009257e-05	-2.500000011451675e-07	20	hcp
42	Ti	5	base centered monoclinic	10.711730307177689	0.013456256999999638	0.013457057000000106	8.000000004670937e-07	5	hcp
43	Ti	5	base centered monoclinic	71.411535381184592	0.0027244569999993473	0.002724257000000563	-1.999999987845058e-07	10	hcp
44	Ti	5	base centered monoclinic	246.36979706508686	0.00022334300000181884	0.00022414299999873322	7.999999969143801e-07	15	hcp
