,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,169.98,170.26,170.07,169.75,169.87,169.8,170.2,169.99,170.09,169.76,169.77,170.05,169.95,169.95,169.86
1,-320.67,-320.87,-320.74,-320.39,-320.57,-320.48,-320.84,-320.64,-320.7,-320.43,-320.45,-320.69,-320.61,-320.58,-320.51
2,-25.768,-25.847,-25.777,-25.814,-25.761,-25.768,-25.807,-25.799,-25.832,-25.785,-25.775,-25.805,-25.793,-25.813,-25.8
3,-0.9516,-0.95322,-0.95555,-0.95594,-0.95045,-0.95616,-0.95641,-0.95427,-0.95923,-0.95447,-0.95073,-0.95506,-0.95482,-0.96006,-0.95372
4,-0.017041,-0.016643,-0.01692,-0.017049,-0.016923,-0.017155,-0.016959,-0.016881,-0.017092,-0.017087,-0.016873,-0.016987,-0.017014,-0.017084,-0.017032
5,19.814,19.812,19.813,19.811,19.813,19.813,19.812,19.813,19.812,19.812,19.812,19.813,19.812,19.812,19.812
6,2.397,2.3982,2.3968,2.3992,2.3975,2.3978,2.3979,2.398,2.3986,2.3982,2.3985,2.3977,2.3981,2.3982,2.3981
7,0.11221,0.11342,0.114,0.11401,0.11271,0.11286,0.11299,0.11302,0.11331,0.11284,0.11304,0.11295,0.11301,0.113,0.11305
8,0.047369,0.045868,0.045178,0.045339,0.046763,0.046611,0.046451,0.046404,0.046065,0.046587,0.046338,0.046428,0.046358,0.046391,0.046337
9,7.2018e-05,0.00020728,0.00013,9.2708e-05,0.00018615,9.793e-05,0.00020255,0.00038896,0.00011733,0.00011914,0.0001799,0.00012572,0.00028571,0.00014823,0.00020572
10,0.00061849,0.00059027,0.00091207,0.00068464,0.00095078,0.00075931,0.0010467,0.0013071,0.00092466,0.0010291,0.001093,0.0011108,0.0011438,0.0011283,0.0013117
11,0.0011399,0.0012793,0.00090975,0.0011235,0.0008025,0.0010546,0.00067829,0.00025114,0.000897,0.00079198,0.00070763,0.0007321,0.00053398,0.00069334,0.00046432
12,2.3824e-05,2.0371e-05,1.1859e-05,1.345e-05,1.3836e-05,1.4147e-05,1.131e-05,1.2353e-05,1.4721e-05,1.1827e-05,1.3588e-05,1.3898e-05,1.2757e-05,1.2883e-05,1.6723e-05
13,1.9507e-05,1.9516e-05,1.8157e-05,1.8321e-05,1.442e-05,1.8753e-05,1.868e-05,1.5202e-05,1.4873e-05,1.8098e-05,1.9977e-05,1.799e-05,1.6062e-05,1.8836e-05,1.2327e-05
14,4.9165e-06,3.0311e-06,5.5282e-06,4.2319e-06,7.4459e-06,6.0302e-06,7.2155e-06,7.7268e-06,6.3838e-06,6.9369e-06,6.8155e-06,7.7009e-06,7.5209e-06,6.6042e-06,9.312e-06
