,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,125.81,121.77,117.54,116.4,117.87,116.82,114.86,116.04,117.27,117.16,116.6,116.28,117.14,116.58,116.73,116.29,117.03,116.84,116.9,116.73,116.32,116.36,116.67,116.87,116.47,116.74,116.61,116.6,116.64,116.61,116.28
1,-229.31,-230.22,-226.36,-225.24,-226.74,-225.71,-223.84,-225.3,-226.15,-226.07,-225.59,-225.4,-226.2,-225.7,-225.87,-225.44,-226.07,-225.9,-225.97,-225.87,-225.44,-225.51,-225.75,-225.93,-225.57,-225.78,-225.7,-225.69,-225.73,-225.69,-225.43
2,-15.196,-15.256,-15.331,-15.166,-15.103,-15.132,-15.001,-14.739,-15.101,-15.11,-15.014,-14.885,-14.95,-14.893,-14.874,-14.857,-14.969,-14.948,-14.938,-14.868,-14.89,-14.868,-14.932,-14.945,-14.907,-14.967,-14.925,-14.919,-14.913,-14.923,-14.864
3,-0.23207,-0.18697,-0.18511,-0.18989,-0.1902,-0.1918,-0.19282,-0.17651,-0.19218,-0.19353,-0.18998,-0.18524,-0.18613,-0.18508,-0.1879,-0.18529,-0.18621,-0.18733,-0.1881,-0.18538,-0.18556,-0.18489,-0.18732,-0.18833,-0.18548,-0.1877,-0.18708,-0.18704,-0.18617,-0.18763,-0.18572
4,-0.00049713,-0.00033346,-0.00033038,-0.00034886,-0.00033817,-0.00034643,-0.00035408,-0.00032093,-0.00035358,-0.00035357,-0.00034794,-0.0003402,-0.00034075,-0.00033873,-0.00034692,-0.00034054,-0.0003416,-0.00034423,-0.00034495,-0.00033814,-0.00033922,-0.00033765,-0.00034364,-0.00034581,-0.00033921,-0.0003443,-0.00034386,-0.00034329,-0.00034135,-0.00034406,-0.00034023
5,12.986,14.023,13.946,13.874,13.946,13.931,13.893,13.899,13.912,13.935,13.922,13.899,13.908,13.913,13.908,13.912,13.907,13.913,13.914,13.914,13.912,13.913,13.914,13.912,13.912,13.912,13.913,13.912,13.912,13.913,13.913
6,0.74833,1.4963,1.7215,1.6805,1.6474,1.6165,1.644,1.6248,1.6245,1.6382,1.6345,1.6389,1.6347,1.6413,1.6433,1.6392,1.6427,1.6384,1.638,1.6376,1.6387,1.6389,1.6384,1.6392,1.6389,1.6385,1.6385,1.6389,1.639,1.6386,1.6389
7,0.06056,0.085465,0.082752,0.081939,0.076466,0.071153,0.074159,0.067176,0.067487,0.066396,0.067644,0.066723,0.066717,0.065824,0.06701,0.065776,0.065389,0.06656,0.065865,0.06594,0.066903,0.066348,0.066694,0.066447,0.06632,0.066297,0.066502,0.066324,0.066514,0.06648,0.066303
8,-0.0012195,0.0082595,0.022922,0.018421,0.033883,0.035625,0.034899,0.040263,0.039551,0.044307,0.040715,0.042804,0.041852,0.042958,0.041876,0.042769,0.043193,0.042038,0.042658,0.042274,0.041145,0.041851,0.041361,0.041668,0.041836,0.041812,0.041598,0.041752,0.041498,0.041527,0.041768
9,0.0032625,0.0036347,0.0050939,0.0090996,0.00041445,-0.00030963,-0.00044468,-0.00054461,-0.00061101,-0.00050477,-0.00041134,-0.00011308,-0.00057145,-0.00029641,-0.00049347,-0.0001876,-0.00024041,-0.00047801,-0.00035154,-0.00024334,-0.00017791,1.7216e-05,-5.5503e-05,-0.00020023,-0.00016073,0.00022691,-3.276e-05,9.1139e-05,8.8523e-05,-0.00012116,8.432e-05
10,5.0169e-05,-8.855e-05,-0.00016276,-0.00015507,0.0002146,0.00066531,0.00052558,0.00063094,0.00072724,0.00087924,0.0010403,0.00086181,0.0012035,0.00084614,0.0010401,0.00077428,0.00093474,0.0010455,0.00096334,0.00098623,0.0010061,0.00077958,0.00092294,0.00094695,0.00095672,0.00060067,0.00087169,0.00078605,0.00075526,0.00095051,0.00075044
11,0.00027042,-9.3627e-06,0.00018973,0.00016931,0.00030197,0.00012157,0.0002427,7.4303e-05,9.2577e-05,8.0257e-05,0.00013682,0.00011374,9.9115e-05,8.5223e-05,8.4956e-05,0.00012588,0.00012724,9.9924e-05,9.5386e-05,0.00010023,0.00012563,0.0001754,0.00015224,0.00010895,0.00011654,0.00018596,0.00015106,0.00017413,0.00017597,0.00012074,0.00016997
12,2.7449e-05,4.387e-05,0.00016615,5.8482e-05,0.00016454,7.6849e-05,9.5297e-05,7.6529e-05,8.0333e-05,5.5836e-05,6.7016e-05,2.8917e-05,6.1188e-05,5.0291e-05,4.4774e-05,3.7978e-05,1.9195e-05,7.5098e-05,6.4999e-05,6.098e-05,2.9083e-05,4.2891e-06,1.3134e-05,5.3051e-05,4.7984e-05,1.3884e-05,1.9936e-05,9.3092e-06,7.1732e-06,4.3993e-05,1.2631e-05
13,6.1595e-06,2.966e-05,4.5318e-06,1.1736e-05,4.1418e-06,2.453e-06,3.3408e-06,4.2486e-06,4.3908e-06,5.5604e-06,2.9524e-06,8.3306e-07,4.1294e-06,5.7975e-06,4.5831e-06,4.853e-06,4.4547e-06,3.6185e-06,6.6532e-06,3.8372e-06,3.3033e-06,,2.6755e-06,3.6953e-06,4.2881e-06,2.4789e-06,3.3134e-06,,,3.2662e-06,2.514e-06
14,,1.9373e-06,,1.171e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
