,0,1,2,3,4,5,6
0,92.404,90.513,91.898,91.636,92.103,91.792,91.909
1,-91.609,-89.807,-91.132,-90.909,-91.353,-91.053,-91.17
2,-3.7344,-3.7473,-3.825,-3.7913,-3.8133,-3.8036,-3.802
3,-0.013276,-0.013213,-0.013613,-0.013596,-0.013631,-0.013572,-0.013537
4,-3.3327e-05,-3.3142e-05,-3.4514e-05,-3.4676e-05,-3.4413e-05,-3.424e-05,-3.4288e-05
5,-0.0029472,-0.0026325,-0.0026153,-0.0025728,-0.0025839,-0.0025915,-0.0025915
6,-0.0022248,-0.0020219,-0.0019978,-0.0019683,-0.001976,-0.001982,-0.0019823
7,1.2739e-05,1.2759e-05,1.2402e-05,1.2311e-05,1.2211e-05,1.2274e-05,1.2261e-05
8,-6.9715e-06,-6.3942e-06,-6.4478e-06,-6.356e-06,-6.3932e-06,-6.4034e-06,-6.4036e-06
