,0,1,2,3,4,5,6,7,8
0,239.34,235.04,234.49,234.28,235.04,234.63,235.81,236.32,236.46
1,-248.02,-245.07,-244.29,-244.12,-244.91,-244.4,-245.11,-246.16,-246.37
2,-17.341,-16.099,-16.375,-16.362,-16.348,-16.501,-16.876,-16.36,-16.298
3,-0.41719,-0.48697,-0.4325,-0.39912,-0.39167,-0.3872,-0.41791,-0.40686,-0.41607
4,-0.0030574,-0.0050652,-0.0037827,-0.0030953,-0.0032339,-0.0029638,-0.0033004,-0.0033776,-0.003549
5,0.70852,0.72372,0.72434,0.71316,0.72529,0.71532,0.73179,0.72252,0.70866
6,0.18112,0.19858,0.18483,0.19343,0.19044,0.18526,0.19671,0.19124,0.18634
7,-0.0065313,-0.0074694,-0.005532,-0.006142,-0.0078896,-0.0073855,-0.0069947,-0.0069652,-0.0072951
8,0.0030788,0.0040327,0.0013703,0.0024746,0.0044283,0.0031272,0.0041696,0.0031731,0.0038091
9,1.0528e-05,-1.8866e-05,1.5173e-05,3.4838e-05,-1.1425e-05,4.5591e-06,2.4495e-05,9.7659e-07,-1.6107e-05
10,5.7312e-05,9.6494e-05,6.2463e-05,2.2194e-05,4.3625e-05,4.8804e-05,1.09e-05,4.4548e-05,5.501e-05
11,2.9363e-06,-3.4439e-06,-4.1609e-06,-6.8507e-06,-4.327e-06,-4.0144e-06,-6.7924e-06,-6.1139e-06,-2.0276e-06
