,0,1,2,3,4,5,6,7,8
0,323.97,322.05,321.11,321.82,322.26,322.09,320.83,319.82,321.54
1,-333.08,-331.6,-331.34,-331.72,-332.39,-332.16,-331.1,-330.29,-331.81
2,-29.907,-29.581,-28.236,-29.128,-28.756,-28.863,-28.601,-28.428,-28.637
3,-0.85252,-0.76716,-1.4004,-0.93604,-1.0792,-1.0603,-1.1036,-1.0889,-1.0821
4,-0.017675,-0.013112,-0.036502,-0.020467,-0.029627,-0.023563,-0.027062,-0.025904,-0.022095
5,1.0392,1.0604,1.0583,1.0514,1.0509,1.0579,1.0577,1.0553,1.0564
6,0.2816,0.28218,0.27586,0.28038,0.2835,0.28228,0.28283,0.28155,0.28143
7,-0.011169,-0.011984,-0.012468,-0.012191,-0.012437,-0.012526,-0.012675,-0.012463,-0.012611
8,0.0012137,0.0016289,0.0019563,0.0017438,0.0021928,0.0021538,0.0023796,0.0020745,0.0022322
9,8.5982e-05,6.1977e-05,2.5696e-05,5.6285e-05,3.1498e-05,4.6121e-05,3.5015e-05,4.5095e-05,3.7344e-05
10,1.5306e-05,3.2174e-05,5.2854e-05,2.6966e-05,3.6188e-05,2.2456e-05,3.0829e-05,2.576e-05,3.0653e-05
11,-1.2654e-06,9.0781e-07,-1.4797e-06,-7.2876e-07,-1.6116e-06,-1.289e-06,-2.1938e-06,-1.54e-06,-1.8849e-06
