,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,23.495,23.192,23.668,24.328,23.656,24.924,23.992,24.652,23.856,24.19,24.057,24.102,23.845,24.104,24.251,23.894,24.106,23.899,24.055
1,-27.407,-27.049,-27.551,-28.198,-27.551,-28.748,-27.859,-28.474,-27.725,-28.06,-27.92,-27.968,-27.718,-27.968,-28.112,-27.768,-27.974,-27.768,-27.921
2,-0.65769,-0.66558,-0.68977,-0.71037,-0.67749,-0.75977,-0.71478,-0.76011,-0.71455,-0.71169,-0.72002,-0.71745,-0.70993,-0.71938,-0.72181,-0.70908,-0.71563,-0.71294,-0.71722
3,-0.0002452,-0.00026212,-0.00030263,-0.00028105,-0.00028796,-0.00036591,-0.00030591,-0.00037211,-0.00031912,-0.00031116,-0.0003254,-0.00031939,-0.00031822,-0.00032556,-0.00032314,-0.00031513,-0.00031585,-0.00032373,-0.00031963
4,-2.7057e-10,-4.3224e-10,-1.4122e-09,-1.0873e-09,-1.0414e-09,-1.8902e-09,-1.1075e-09,-1.3881e-09,-1.4611e-09,-1.5687e-09,-6.9554e-10,-8.4469e-10,-7.4533e-10,-1.4074e-09,-5.2773e-10,-1.7931e-09,-1.5855e-09,-8.4356e-10,-1.342e-09
5,0.53016,0.46976,0.53174,0.52189,0.51758,0.52506,0.51342,0.51797,0.51823,0.51542,0.51968,0.51878,0.5182,0.51954,0.51861,0.51925,0.51926,0.51828,0.51896
6,0.32666,0.38108,0.31452,0.33696,0.32595,0.32384,0.33825,0.32994,0.33083,0.33352,0.33004,0.33203,0.33173,0.33089,0.33214,0.33105,0.3316,0.33249,0.33199
7,0.017326,0.0088761,0.011568,0.014056,0.011104,0.012432,0.010476,0.010917,0.011725,0.011256,0.011397,0.011577,0.011485,0.011604,0.011548,0.011721,0.01187,0.011717,0.011596
8,0.00015869,0.0029627,0.0015612,0.00054159,0.001727,0.0012086,0.0020568,0.0018063,0.0015266,0.0017262,0.0016198,0.0015476,0.0016047,0.0015593,0.0015886,0.001513,0.0014513,0.0015098,0.0015448
9,-9.3502e-07,1.5422e-05,5.2429e-07,-2.5291e-06,3.0467e-06,1.5643e-06,1.8049e-06,3.8037e-06,-3.48e-06,-4.2467e-07,1.9512e-06,1.1879e-06,4.8724e-07,-1.0173e-06,-6.3408e-07,-1.0118e-06,-6.2017e-07,4.3744e-07,8.8907e-07
10,,3.1743e-06,,,,,,,,,,,,,,,,,
