,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,96.613,101.94,99.393,102.14,102.44,100.46,101.19,99.542,102.03,100.77,101.37,100.97,100.85,101.08,101.15,101.39,101.07,101.95,101.62,101.04,101.08,101.0,101.37,101.47,101.21,101.2,101.24,101.09,101.33,100.95,101.56
1,-139.77,-145.08,-142.48,-145.68,-144.6,-143.32,-143.82,-142.45,-144.32,-143.88,-144.05,-143.77,-143.72,-143.89,-143.81,-144.2,-143.86,-144.73,-144.35,-143.9,-143.87,-143.88,-144.2,-144.23,-143.94,-143.98,-144.03,-143.89,-144.13,-143.85,-144.34
2,-18.521,-18.308,-18.252,-17.85,-19.12,-18.489,-18.703,-18.452,-18.984,-18.239,-18.664,-18.536,-18.484,-18.524,-18.672,-18.539,-18.547,-18.558,-18.618,-18.488,-18.559,-18.468,-18.514,-18.578,-18.609,-18.55,-18.557,-18.55,-18.544,-18.457,-18.568
3,-0.61688,-0.58657,-0.50418,-0.51469,-0.59072,-0.55668,-0.58126,-0.57604,-0.60537,-0.54547,-0.57003,-0.56436,-0.56309,-0.56766,-0.57711,-0.56148,-0.56927,-0.56458,-0.5625,-0.55883,-0.56434,-0.55635,-0.56191,-0.56717,-0.57117,-0.56839,-0.5646,-0.56467,-0.565,-0.55815,-0.56494
4,-0.0033884,-0.0033279,-0.0029133,-0.0029192,-0.003313,-0.0031268,-0.0032307,-0.003257,-0.0034237,-0.0030871,-0.0032152,-0.003151,-0.0031844,-0.0031917,-0.0032554,-0.0031586,-0.0031945,-0.0031935,-0.003152,-0.0031394,-0.0031696,-0.0031235,-0.0031667,-0.0031847,-0.0032075,-0.0031908,-0.0031736,-0.003175,-0.0031712,-0.0031381,-0.0031756
5,8.0992,8.4749,7.8882,7.777,7.815,7.7935,7.8009,7.8232,7.7923,7.806,7.813,7.8307,7.8109,7.8196,7.8058,7.8205,7.8164,7.8189,7.8164,7.8142,7.8177,7.8154,7.8184,7.8169,7.8159,7.8165,7.8165,7.8151,7.8162,7.8158,7.8165
6,0.60176,0.47926,0.24898,0.47505,0.32543,0.37116,0.38829,0.39325,0.37328,0.36182,0.37405,0.36048,0.37459,0.37195,0.3734,0.36725,0.36312,0.37056,0.36861,0.36932,0.36561,0.37027,0.37033,0.37157,0.36953,0.36924,0.36874,0.37059,0.36898,0.36882,0.36864
7,0.051053,0.062334,0.06527,0.064315,0.066447,0.062803,0.062649,0.061816,0.06062,0.062838,0.061588,0.057867,0.063695,0.060079,0.062384,0.060197,0.063735,0.061613,0.060036,0.061778,0.060508,0.060835,0.059713,0.059483,0.060908,0.060318,0.06041,0.060591,0.060438,0.060788,0.060874
8,0.032388,0.012663,0.00021333,0.0049768,0.00026221,0.00090952,0.001,0.0020963,0.0024435,0.00062049,0.0014627,0.0033939,0.00040957,0.0023298,0.0010569,0.0019505,0.00023703,0.0013306,0.0020058,0.0011485,0.0016847,0.0015855,0.0021704,0.0024137,0.0015626,0.0018789,0.0018013,0.0017384,0.0018036,0.0016588,0.0015795
9,-3.8446e-05,0.0015465,8.3844e-05,9.6376e-05,1.3938e-05,-0.00018942,2.0956e-05,-7.8215e-05,-4.5361e-05,-4.4608e-05,9.499e-05,5.7361e-05,-9.2229e-05,-8.6999e-05,-6.1729e-05,0.00031701,-9.391e-05,1.171e-05,-1.396e-07,1.9034e-05,0.00031715,0.00012856,0.00019591,0.00039242,0.00013051,0.0001214,0.00033237,3.5557e-05,0.00033066,0.00010484,0.00010584
10,-7.9599e-05,-0.00015859,-1.403e-05,0.00021634,-2.0973e-05,0.00017343,5.8511e-05,0.00022914,0.000285,0.00022013,0.00016644,0.00050617,0.00016884,0.00024831,0.00026476,7.4267e-05,0.00023595,0.00027523,0.00046212,0.00024679,9.2293e-05,0.00030245,0.0003927,0.00020753,0.00028129,0.00035656,0.0001293,0.00041315,0.00011399,0.00029902,0.00029034
11,5.526e-05,0.00014996,5.5239e-06,9.1136e-05,5.7925e-05,3.3893e-05,3.5626e-05,2.5608e-05,2.5105e-05,2.9701e-05,4.5483e-05,1.2653e-05,2.1565e-05,2.3303e-05,1.525e-05,3.9228e-05,2.4355e-05,3.0163e-05,1.458e-05,4.3877e-05,4.5427e-05,1.9094e-05,4.2111e-05,3.9394e-05,4.1637e-05,2.582e-05,3.2156e-05,1.409e-05,4.1192e-05,4.31e-05,3.2289e-05
12,0.00014833,0.00024637,,0.00010536,2.3838e-05,6.1747e-05,4.3438e-05,2.0523e-05,4.0439e-05,1.5543e-05,3.4252e-06,2.6048e-05,4.8459e-05,4.5936e-05,3.3496e-05,1.1389e-05,3.0592e-05,2.655e-05,2.918e-05,9.2355e-06,-6.9903e-07,2.7923e-05,3.5909e-06,1.2114e-05,5.3416e-06,2.149e-05,1.4745e-05,3.1473e-05,6.5293e-06,1.4744e-06,1.3712e-05
13,7.7456e-05,3.0903e-05,,1.0527e-05,4.0332e-06,4.842e-07,4.8366e-06,1.4543e-07,2.6359e-06,-2.6745e-07,,-2.1301e-06,-9.4112e-07,-1.3724e-06,-2.1454e-06,-1.0967e-06,-1.1284e-06,-1.815e-06,-1.7e-06,,,-1.9121e-06,,-2.8967e-06,,-2.4772e-06,-1.951e-06,-1.9262e-06,,,-2.1604e-06
14,8.1132e-07,8.7674e-06,,2.5157e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
