,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,51.888,50.648,51.801,48.819,48.062,49.716,49.693,49.683,50.6,50.335,50.35,50.605,50.713,50.581,49.843,50.326,50.033,50.358,50.137,50.492,50.245,50.278,50.514,50.624,50.596,50.435,50.413
1,-82.914,-82.2,-83.403,-81.071,-80.177,-82.033,-81.898,-81.753,-82.809,-82.572,-82.556,-82.721,-82.772,-82.568,-82.037,-82.444,-82.098,-82.479,-82.294,-82.531,-82.316,-82.426,-82.586,-82.669,-82.637,-82.508,-82.51
2,-10.309,-9.678,-9.4595,-8.8575,-8.9971,-8.7955,-8.8908,-9.0604,-8.9092,-8.8605,-8.9159,-9.0042,-9.0614,-9.1255,-8.9269,-8.9995,-9.0529,-8.9993,-8.9633,-9.0779,-9.0462,-8.9731,-9.0475,-9.0726,-9.0777,-9.0447,-9.0218
3,-0.23739,-0.17045,-0.16785,-0.13764,-0.1489,-0.13961,-0.15596,-0.1514,-0.14726,-0.14646,-0.14909,-0.1504,-0.1535,-0.15722,-0.15158,-0.15159,-0.15537,-0.15182,-0.15214,-0.15458,-0.15467,-0.1513,-0.1535,-0.15507,-0.1539,-0.15434,-0.15365
4,-0.00044077,-0.00031371,-0.00032295,-0.00026064,-0.0002808,-0.00025373,-0.00028628,-0.00027999,-0.00027721,-0.00027686,-0.00027631,-0.00028044,-0.00028724,-0.00029259,-0.0002807,-0.00028202,-0.00028791,-0.00028161,-0.00028263,-0.0002879,-0.00028601,-0.00028145,-0.00028371,-0.00028852,-0.00028514,-0.00028745,-0.00028536
5,5.0757,5.7086,5.2455,5.1627,5.203,5.1743,5.2194,5.2063,5.189,5.2137,5.2005,5.1962,5.1949,5.1981,5.2057,5.1974,5.2006,5.1997,5.1986,5.1985,5.198,5.198,5.2,5.199,5.1999,5.1985,5.1986
6,0.45616,0.43653,0.17774,0.26875,0.22541,0.26665,0.25115,0.25395,0.23991,0.24273,0.25712,0.2543,0.25998,0.25356,0.24974,0.25358,0.25642,0.25378,0.2562,0.25612,0.25665,0.25724,0.25734,0.25815,0.25632,0.25618,0.25697
7,0.050923,0.040732,0.044992,0.044731,0.048878,0.03893,0.038842,0.043067,0.041689,0.044703,0.040614,0.042076,0.044877,0.042481,0.038959,0.04189,0.040496,0.042274,0.041535,0.040921,0.04279,0.042134,0.041282,0.041052,0.041241,0.042147,0.041448
8,0.0018041,0.028187,0.00018737,0.0011211,0.00068988,0.0051364,0.0033078,0.00058031,0.00059694,-0.00056825,0.0024085,0.0012404,-0.00020924,0.0010202,0.0033493,0.0015213,0.0026111,0.0011489,0.001781,0.0022021,0.0010417,0.0014394,0.0020378,0.0022806,0.0020243,0.0013903,0.0019516
9,2.4165e-05,0.00078002,1.1052e-05,2.9041e-05,1.9796e-05,-9.1094e-05,-5.243e-06,4.579e-06,1.5406e-05,2.2258e-05,6.8338e-06,6.1599e-05,2.9322e-05,7.3706e-05,3.0518e-05,0.00011347,0.00012085,7.6086e-05,0.00015761,0.00010671,0.00019368,0.0001829,0.00014767,5.4225e-05,0.00013049,0.00015151,9.7662e-05
10,1.1998e-05,-0.00015818,5.9603e-05,0.00017653,0.00010396,0.00012122,0.00014078,0.00014943,0.00015451,0.00017873,0.00020679,0.00012417,0.00016321,0.00013985,0.00014111,0.00010062,4.0723e-05,0.00014765,3.7932e-05,7.5766e-05,2.9945e-05,2.7983e-05,3.9309e-05,0.00013318,5.3772e-05,5.8191e-05,0.0001005
11,-1.5106e-05,-3.9168e-05,1.5493e-05,1.0665e-05,7.4323e-06,0.00012754,2.9514e-05,2.2938e-05,3.1706e-05,4.1095e-06,1.8e-05,3.1625e-05,1.8623e-05,3.1907e-05,2.1288e-05,2.5578e-05,2.7883e-05,2.519e-05,2.8566e-05,2.8935e-05,2.6701e-05,2.7358e-05,2.7421e-05,2.8302e-05,2.937e-05,2.7522e-05,2.55e-05
12,9.5646e-06,0.00023542,8.0804e-06,1.902e-05,,2.4559e-06,-3.1006e-06,1.815e-05,4.7264e-06,,2.1743e-06,-1.7548e-07,1.4698e-05,-1.706e-06,-4.9849e-07,6.7159e-07,-3.1557e-06,1.6779e-06,-1.132e-07,-3.2099e-07,-2.8366e-07,-4.7828e-07,-1.9878e-07,1.343e-07,-8.4287e-07,2.6882e-07,6.7296e-07
13,,1.2057e-05,,2.5266e-06,,,,2.2722e-06,,,,,-1.8262e-06,,,,,,,,,,,,,,
14,,2.1518e-06,,,,,,,,,,,,,,,,,,,,,,,,,
