,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-4.9389,-5.1736,-4.7274,-4.6962,-4.6068,-5.23,-4.1817,-5.2542,-4.7714,-5.1812,-4.2792,-4.6699,-4.4194,-4.0209,-4.9198,-4.523,-4.5551
1,-5.1165,-4.896,-5.5373,-5.5438,-5.768,-5.0523,-6.1584,-5.0338,-5.5379,-5.0865,-6.0759,-5.6562,-5.9274,-6.3286,-5.4024,-5.8247,-5.7914
2,-0.057932,-0.043557,-0.04996,-0.054776,-0.076406,-0.05189,-0.08174,-0.054745,-0.062749,-0.054071,-0.077652,-0.064693,-0.074579,-0.091475,-0.060636,-0.071912,-0.069876
3,-2.7526e-06,-2.575e-06,-2.3994e-06,-3.1394e-06,-9.0268e-06,-3.2448e-06,-8.0882e-06,-3.5668e-06,-4.6194e-06,-3.4413e-06,-8.452e-06,-5.1302e-06,-7.1264e-06,-1.2366e-05,-4.4409e-06,-6.7262e-06,-6.4455e-06
4,3.2912e-10,6.1351e-10,-3.9279e-10,1.4813e-10,-5.829e-10,-6.9264e-10,-3.7599e-10,8.3821e-10,7.0347e-10,-9.7609e-10,3.6988e-10,6.9917e-12,-3.1267e-10,7.6687e-10,-7.7912e-10,2.82e-10,-4.9926e-10
5,1.2408,1.1084,1.4005,1.2639,1.5252,1.3293,1.5087,1.3407,1.3641,1.2927,1.5106,1.4078,1.4702,1.5829,1.3889,1.4684,1.4573
6,0.11139,0.019376,0.061443,0.03886,0.04099,0.07045,0.042027,0.05314,0.060919,0.066667,0.041232,0.054304,0.045953,0.037028,0.054299,0.046202,0.045848
7,0.014828,0.0076044,0.0010945,0.01105,0.0098297,0.0088063,0.0077486,0.01064,0.011595,0.012544,0.0098242,0.0086157,0.010667,0.0093964,0.011372,0.0097131,0.010568
8,0.00097458,-3.8429e-05,0.010027,0.00011917,0.00046573,0.0034576,0.0023088,0.00013025,1.6161e-05,-0.00011473,0.00058461,0.0022031,0.00015803,0.00047849,4.9574e-05,0.00086323,0.0001931
9,2.781e-05,1.9582e-05,0.00014092,1.0965e-05,8.9518e-05,2.6794e-05,4.4282e-05,7.2926e-05,5.2191e-05,6.1559e-05,5.7156e-05,6.189e-05,6.4803e-05,7.2134e-05,6.8687e-05,5.7943e-05,6.7245e-05
10,6.4672e-06,-1.9084e-07,0.00018543,1.0572e-07,-1.556e-06,1.2099e-05,2.7967e-05,-1.3874e-06,1.0541e-06,-1.1292e-06,-1.0306e-06,2.4677e-06,-8.4263e-07,5.102e-06,-1.3131e-06,-1.3091e-06,-3.918e-07
11,,,1.0201e-05,,,7.3763e-08,2.2726e-06,,,,,,,,,,
12,,,2.3772e-06,,,,,,,,,,,,,,
